Black Body Radiation Experiment Wed, Mar 6, 2024 1:44 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	0.00205
0.01015	0.00195
0.01015	0.00147
0.01015	0.00075
0.01015	-0.00008
0.01015	-0.00090
0.01015	-0.00158
0.01015	-0.00180
0.01015	-0.00124
0.01015	-0.00063
0.01015	0.00067
0.02030	0.00131
0.02030	0.00168
0.02030	0.00183
0.02030	0.00225
0.03046	0.00261
0.05076	0.00254
0.14213	0.00213
0.25381	0.00209
0.53807	0.00242
0.77157	0.00237
0.88325	0.00274
1.28934	0.00332
1.53299	0.00282
1.64467	0.00217
1.96954	0.00174
2.17259	0.00132
2.31472	0.00095
2.59898	0.00107
2.78173	0.00201
2.87310	0.00190
3.14721	0.00267
3.32995	0.00285
3.42132	0.00358
3.69543	0.00401
3.86802	0.00388
3.97970	0.00303
4.26396	0.00252
4.38579	0.00226
4.51777	0.00190
4.78173	0.00225
4.96447	0.00308
5.02538	0.00234
5.29949	0.00269
5.48223	0.00278
5.55330	0.00291
5.74619	0.00266
5.86802	0.00305
5.91878	0.00271
6.10152	0.00306
6.23350	0.00373
6.29442	0.00356
6.54822	0.00382
6.73096	0.00438
6.82234	0.00409
7.07614	0.00403
7.19797	0.00385
7.26904	0.00382
7.43147	0.00439
7.53299	0.00427
7.59391	0.00445
7.75635	0.00494
7.86802	0.00482
7.91878	0.00491
8.17259	0.00581
8.32487	0.00704
8.39594	0.00708
8.65990	0.00692
8.79188	0.00685
8.86294	0.00774
9.10660	0.00718
9.19797	0.00629
9.24873	0.00610
9.40102	0.00526
9.50254	0.00442
9.55330	0.00441
9.71574	0.00437
9.84772	0.00430
9.92893	0.00450
10.15228	0.00510
10.30457	0.00580
10.38579	0.00622
10.53807	0.00560
10.62944	0.00591
10.68020	0.00647
10.84264	0.00636
10.95431	0.00634
11.00508	0.00579
11.20812	0.00512
11.32995	0.00489
11.38071	0.00555
11.57360	0.00579
11.68528	0.00598
11.72589	0.00554
11.85787	0.00523
11.93909	0.00533
11.97970	0.00563
12.11168	0.00567
12.19289	0.00633
12.23350	0.00652
12.33503	0.00689
12.36548	0.00688
12.37563	0.00766
12.42640	0.00847
12.48731	0.00851
12.51777	0.00874
12.61929	0.00850
12.69036	0.00736
12.73096	0.00630
12.86294	0.00646
12.96447	0.00669
13.01523	0.00615
13.14721	0.00584
13.24873	0.00613
13.27919	0.00683
13.41117	0.00709
13.52284	0.00715
13.55330	0.00836
13.65482	0.00771
13.72589	0.00734
13.76650	0.00794
13.84772	0.00882
13.92893	0.00905
13.96954	0.00908
14.15228	0.00893
14.32487	0.00894
14.39594	0.00814
14.78173	0.00707
14.94416	0.00641
15.02538	0.00557
15.27919	0.00472
15.45178	0.00598
15.54315	0.00707
15.76650	0.00796
15.88832	0.00920
15.93909	0.01097
16.09137	0.01148
16.22335	0.01128
16.26396	0.01175
16.44670	0.01088
16.54822	0.01025
16.58883	0.00980
16.71066	0.01006
16.76142	0.01086
16.79188	0.01170
16.91371	0.01249
17.01523	0.01384
17.08629	0.01561
17.32995	0.01561
17.45178	0.01587
17.51269	0.01738
17.82741	0.01754
17.97970	0.01799
18.06091	0.01959
18.29442	0.02089
18.43655	0.02368
18.50761	0.02683
18.72081	0.02998
18.79188	0.03342
18.83249	0.03790
18.94416	0.04116
19.05584	0.04578
19.11675	0.05149
19.30964	0.05651
19.43147	0.06328
19.50254	0.07287
19.69543	0.08143
19.74619	0.09254
19.82741	0.10432
20.04061	0.11570
20.11168	0.12994
20.17259	0.14755
20.33503	0.16457
20.41624	0.18694
20.49746	0.21386
20.68020	0.24315
20.77157	0.27837
20.84264	0.31667
21.00508	0.35249
21.04569	0.38860
21.05584	0.42217
21.07614	0.44898
21.09645	0.47629
21.12690	0.50143
21.22843	0.52170
21.28934	0.54788
21.31980	0.57850
21.42132	0.60927
21.49239	0.65040
21.54315	0.69931
21.71574	0.75132
21.79695	0.80981
21.89848	0.86954
22.07107	0.92461
22.15228	0.97861
22.21320	1.02667
22.30457	1.06562
22.36548	1.10142
22.41624	1.12969
22.46701	1.14913
22.51777	1.16797
22.56853	1.18294
22.72081	1.19573
22.80203	1.20613
22.82234	1.20856
22.97462	1.20534
23.07614	1.19543
23.13706	1.17445
23.34010	1.14879
23.42132	1.11832
23.46193	1.08006
23.60406	1.04230
23.64467	1.00281
23.66497	0.96106
23.74619	0.92361
23.80711	0.88460
23.85787	0.84205
23.97970	0.80369
24.06091	0.76070
24.10152	0.71108
24.21320	0.66640
24.32487	0.61756
24.38579	0.56437
24.57868	0.51675
24.72081	0.46628
24.76142	0.41404
24.93401	0.36834
25.05584	0.32308
25.11675	0.27994
25.29949	0.24418
25.42132	0.20985
25.47208	0.17807
25.60406	0.15487
25.68528	0.13279
25.72589	0.11350
25.83756	0.09939
25.90863	0.08617
25.94924	0.07373
26.06091	0.06546
26.17259	0.05696
26.22335	0.04943
26.38579	0.04275
26.52792	0.03658
26.59898	0.03080
26.82234	0.02666
26.98477	0.02258
27.06599	0.02024
27.29949	0.01879
27.46193	0.01799
27.54315	0.01655
27.69543	0.01620
27.80711	0.01579
