Black Body Radiation Experiment Wed, Mar 6, 2024 1:49 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	0.00051
0.01015	0.00048
0.01015	0.00035
0.01015	0.00015
0.01015	-0.00007
0.01015	-0.00030
0.01015	-0.00049
0.01015	-0.00006
0.01015	-0.00058
0.01015	0.00003
0.01015	-0.00030
0.01015	-0.00047
0.01015	-0.00136
0.01015	-0.00079
0.01015	-0.00074
0.01015	-0.00110
0.01015	-0.00184
0.01015	-0.00229
0.01015	-0.00253
0.01015	-0.00220
0.01015	-0.00210
0.01015	-0.00170
0.01015	-0.00172
0.01015	-0.00089
0.01015	-0.00037
0.01015	-0.00016
0.01015	0.00006
0.01015	0.00033
0.01015	0.00079
0.01015	0.00084
0.01015	0.00140
0.01015	0.00197
0.01015	0.00237
0.01015	0.00238
0.01015	0.00225
0.01015	0.00220
0.01015	0.00175
0.01015	0.00092
0.01015	0.00036
0.01015	-0.00025
0.01015	-0.00099
0.01015	-0.00161
0.01015	-0.00194
0.01015	-0.00202
0.01015	-0.00249
0.01015	-0.00276
0.01015	-0.00342
0.01015	-0.00314
0.01015	-0.00262
0.01015	-0.00186
0.01015	-0.00165
0.01015	-0.00103
0.01015	-0.00006
0.01015	0.00030
0.01015	0.00046
0.01015	0.00119
0.01015	0.00082
0.01015	0.00042
0.01015	-0.00074
0.01015	-0.00103
0.01015	-0.00160
0.01015	-0.00176
0.01015	-0.00197
0.01015	-0.00171
0.01015	-0.00109
0.01015	-0.00061
0.01015	0.00029
0.01015	0.00142
0.01015	0.00141
0.01015	0.00125
0.01015	0.00061
0.01015	0.00012
0.01015	-0.00072
0.01015	-0.00142
0.01015	-0.00207
0.01015	-0.00262
0.01015	-0.00332
0.01015	-0.00362
0.01015	-0.00339
0.01015	-0.00333
0.01015	-0.00323
0.01015	-0.00350
0.01015	-0.00318
0.01015	-0.00261
0.01015	-0.00210
0.01015	-0.00238
0.01015	-0.00220
0.01015	-0.00207
0.01015	-0.00256
0.01015	-0.00199
0.01015	-0.00097
0.01015	-0.00022
0.01015	0.00020
0.01015	0.00019
0.01015	0.00133
0.01015	0.00192
0.01015	0.00180
0.01015	0.00088
0.01015	0.00001
0.01015	-0.00077
0.01015	-0.00169
0.01015	-0.00281
0.01015	-0.00411
0.01015	-0.00478
0.01015	-0.00523
0.01015	-0.00470
0.01015	-0.00332
0.01015	-0.00311
0.01015	-0.00307
0.01015	-0.00264
0.01015	-0.00242
0.01015	-0.00180
0.01015	-0.00137
0.01015	-0.00132
0.01015	-0.00119
0.01015	-0.00041
0.01015	0.00050
0.01015	0.00040
0.01015	0.00010
0.01015	-0.00115
0.01015	-0.00184
0.01015	-0.00190
0.01015	-0.00210
0.01015	-0.00181
0.01015	-0.00118
0.01015	-0.00045
0.01015	-0.00012
0.01015	0.00095
0.01015	0.00111
0.01015	0.00075
0.01015	0.00053
0.01015	0.00045
0.01015	0.00026
0.01015	0.00043
0.01015	-0.00005
0.01015	-0.00124
0.01015	-0.00211
0.01015	-0.00276
0.01015	-0.00301
0.01015	-0.00237
0.01015	-0.00198
0.01015	-0.00134
0.01015	-0.00112
0.01015	-0.00062
0.01015	0.00016
0.01015	0.00145
0.01015	0.00144
0.01015	0.00121
0.01015	0.00119
0.01015	0.00067
0.01015	-0.00005
0.01015	-0.00058
0.01015	-0.00104
0.01015	-0.00177
0.03046	-0.00238
0.07107	-0.00215
0.15228	-0.00112
0.20305	-0.00062
0.30457	0.00010
0.38579	0.00112
0.43655	0.00177
0.64975	0.00076
0.76142	0.00027
0.80203	-0.00022
1.01523	-0.00048
1.14721	-0.00047
1.19797	-0.00066
1.36041	-0.00007
1.48223	0.00006
1.54315	-0.00020
1.71574	0.00021
1.85787	0.00040
1.91878	-0.00007
2.17259	-0.00096
2.34518	-0.00029
2.44670	-0.00000
2.64975	0.00071
2.79188	0.00165
2.84264	0.00214
3.01523	0.00267
3.15736	0.00281
3.20812	0.00287
3.39086	0.00213
3.47208	0.00173
3.51269	0.00036
3.62437	0.00018
3.68528	0.00088
3.71574	0.00119
3.80711	0.00151
3.92893	0.00225
4.01015	0.00248
4.21320	0.00272
4.30457	0.00372
4.41624	0.00423
4.57868	0.00431
4.72081	0.00379
4.79188	0.00298
4.99492	0.00320
5.14721	0.00311
5.23858	0.00289
5.54315	0.00257
5.71574	0.00264
5.78680	0.00254
6.03046	0.00260
6.17259	0.00314
6.24365	0.00363
6.43655	0.00406
6.54822	0.00339
6.60914	0.00427
6.77157	0.00471
6.87310	0.00538
6.92386	0.00624
7.15736	0.00621
7.26904	0.00599
7.30964	0.00597
7.51269	0.00549
7.64467	0.00546
7.70558	0.00573
7.91878	0.00547
8.10152	0.00533
8.18274	0.00588
8.41624	0.00588
8.55838	0.00612
8.63959	0.00557
8.85279	0.00504
9.01523	0.00413
9.09645	0.00361
9.31980	0.00387
9.49239	0.00470
9.57360	0.00576
9.81726	0.00700
10.01015	0.00812
10.09137	0.00929
10.29442	0.01017
10.39594	0.01032
10.50761	0.00973
10.69036	0.00957
10.82234	0.00866
10.88325	0.00784
11.04569	0.00766
11.18782	0.00795
11.24873	0.00883
11.41117	0.00888
11.55330	0.00876
11.60406	0.00914
11.78680	0.00922
11.92893	0.00891
11.98985	0.00887
12.20305	0.00893
12.35533	0.00863
12.43655	0.00829
12.69036	0.00833
12.84264	0.00867
12.90355	0.00942
13.11675	0.00941
13.24873	0.00931
13.29949	0.00915
13.42132	0.00915
13.50254	0.00911
13.53299	0.00903
13.60406	0.00893
13.64467	0.00930
13.66497	0.01010
13.73604	0.01002
13.77665	0.01033
13.80711	0.01077
13.88832	0.01077
13.94924	0.01017
14.01015	0.00988
14.11168	0.01072
14.22335	0.01094
14.24365	0.01121
14.39594	0.01219
14.51777	0.01287
14.57868	0.01285
14.81218	0.01238
14.97462	0.01294
15.10660	0.01300
15.27919	0.01342
15.37056	0.01352
15.40102	0.01443
15.53299	0.01664
15.57360	0.01727
15.59391	0.01858
15.65482	0.01949
15.66497	0.01971
15.67513	0.01984
15.75635	0.02042
15.81726	0.02085
15.90863	0.02156
16.08122	0.02180
16.17259	0.02151
16.20305	0.02251
16.32487	0.02340
16.40609	0.02414
16.45685	0.02522
16.71066	0.02604
16.86294	0.02797
16.93401	0.03022
17.21827	0.03246
17.32995	0.03529
17.39086	0.03892
17.59391	0.04215
17.70558	0.04627
17.77665	0.05136
17.90863	0.05562
17.95939	0.06077
18.00000	0.06501
18.09137	0.06861
18.15228	0.07319
18.20305	0.07736
18.29442	0.08094
18.34518	0.08579
18.40609	0.09165
18.54822	0.09789
18.63959	0.10640
18.71066	0.11528
18.81218	0.12464
18.89340	0.13518
18.95431	0.14556
19.04569	0.15497
19.06599	0.16508
19.09645	0.17376
19.13706	0.18292
