Black Body Radiation Experiment Wed, Mar 6, 2024 1:51 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	0.00295
0.01015	0.00094
0.01015	-0.00025
0.01015	-0.00079
0.01015	-0.00084
0.01015	-0.00057
0.02030	-0.00013
0.03046	-0.00034
0.03046	-0.00081
0.03046	-0.00017
0.07107	-0.00008
0.14213	0.00010
0.20305	0.00055
0.23350	0.00077
0.35533	0.00074
0.46701	0.00146
0.50761	0.00173
0.60914	0.00232
0.69036	0.00217
0.73096	0.00211
0.91371	0.00151
1.04569	0.00217
1.10660	0.00240
1.21827	0.00214
1.31980	0.00272
1.38071	0.00227
1.54315	0.00251
1.63452	0.00236
1.68528	0.00248
1.84772	0.00242
1.96954	0.00248
2.03046	0.00242
2.28426	0.00176
2.39594	0.00165
2.43655	0.00196
2.62944	0.00195
2.76142	0.00226
2.82234	0.00215
3.08629	0.00257
3.30964	0.00247
3.42132	0.00326
3.96954	0.00327
4.26396	0.00295
4.43655	0.00225
4.74112	0.00193
4.94416	0.00256
5.03553	0.00281
5.29949	0.00263
5.47208	0.00288
5.54315	0.00342
5.74619	0.00378
5.88832	0.00401
5.95939	0.00503
6.17259	0.00479
6.33503	0.00495
6.41624	0.00532
6.65990	0.00601
6.79188	0.00563
6.86294	0.00447
7.07614	0.00460
7.18782	0.00485
7.24873	0.00521
7.49239	0.00582
7.62437	0.00611
7.70558	0.00709
7.94924	0.00780
8.11168	0.00909
8.27411	0.00931
8.55838	0.00989
8.70051	0.00962
8.75127	0.00960
9.00508	0.00979
9.16751	0.00972
9.24873	0.00999
9.54315	0.01000
9.69543	0.00978
9.87817	0.00996
10.10152	0.01061
10.22335	0.01065
10.31472	0.00971
10.46701	0.00973
10.57868	0.01022
10.62944	0.01077
10.76142	0.01131
10.86294	0.01172
10.89340	0.01212
10.99492	0.01216
11.07614	0.01215
11.13706	0.01315
11.22843	0.01325
11.27919	0.01315
11.28934	0.01182
11.34010	0.01161
11.38071	0.01231
11.40102	0.01279
11.43147	0.01325
11.45178	0.01401
11.46193	0.01453
11.50254	0.01519
11.54315	0.01536
11.57360	0.01575
11.65482	0.01531
11.72589	0.01499
11.75635	0.01483
11.86802	0.01464
11.95939	0.01471
12.00000	0.01482
12.12183	0.01534
12.24365	0.01583
12.29442	0.01582
12.50761	0.01589
12.60914	0.01533
12.64975	0.01493
12.78173	0.01532
12.87310	0.01515
12.91371	0.01570
13.02538	0.01534
13.09645	0.01616
13.13706	0.01641
13.25888	0.01688
13.34010	0.01705
13.40102	0.01747
13.50254	0.01731
13.57360	0.01768
13.60406	0.01736
13.67513	0.01748
13.71574	0.01744
13.73604	0.01799
13.80711	0.01831
13.87817	0.01851
13.90863	0.01841
14.02030	0.01829
14.11168	0.01812
14.23350	0.01814
14.39594	0.01774
14.50761	0.01767
14.56853	0.01771
14.75127	0.01792
14.85279	0.01916
14.87310	0.02042
14.97462	0.02125
15.03553	0.02198
15.05584	0.02333
15.08629	0.02426
15.09645	0.02439
15.09645	0.02418
15.09645	0.02400
15.09645	0.02434
15.09645	0.02406
15.09645	0.02385
15.09645	0.02430
15.10660	0.02469
15.12690	0.02477
15.17766	0.02465
15.19797	0.02504
15.30964	0.02490
15.37056	0.02425
15.41117	0.02474
15.50254	0.02531
15.55330	0.02563
15.56345	0.02547
15.62437	0.02690
15.68528	0.02783
15.70558	0.02891
15.81726	0.02890
15.87817	0.02897
15.90863	0.02986
16.03046	0.03045
16.12183	0.03112
16.22335	0.03218
16.37563	0.03292
16.46701	0.03427
16.52792	0.03705
16.79188	0.03992
16.90355	0.04319
16.93401	0.04640
17.07614	0.04924
17.14721	0.05259
17.20812	0.05682
17.30964	0.05890
17.34010	0.06116
17.36041	0.06264
17.44162	0.06492
17.47208	0.06785
17.49239	0.07083
17.56345	0.07260
17.60406	0.07481
17.62437	0.07808
17.69543	0.08143
17.75635	0.08550
17.82741	0.09031
17.96954	0.09411
18.04061	0.09972
18.07107	0.10565
18.19289	0.11264
18.24365	0.12008
18.28426	0.12761
18.38579	0.13435
18.41624	0.14048
18.43655	0.14786
18.43655	0.15299
18.44670	0.15822
18.47716	0.16408
18.56853	0.16972
18.63959	0.17686
18.67005	0.18507
18.78173	0.19325
18.81218	0.20236
18.82234	0.21218
18.86294	0.22106
18.88325	0.22902
18.91371	0.23604
18.97462	0.24352
19.00508	0.25261
19.04569	0.26717
19.15736	0.28432
19.23858	0.30944
19.41117	0.33907
19.49239	0.37481
19.59391	0.41284
19.65482	0.45240
19.74619	0.49117
19.77665	0.52706
19.80711	0.55417
19.83756	0.58104
19.89848	0.60780
