Black Body Radiation Experiment Wed, Mar 6, 2024 1:56 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	-0.00296
0.03046	-0.00218
0.04061	-0.00141
0.04061	-0.00067
0.05076	0.00002
0.20305	0.00064
0.40609	0.00118
0.47716	0.00156
0.70051	0.00202
0.86294	0.00179
0.92386	0.00213
1.07614	0.00281
1.14721	0.00219
1.17766	0.00192
1.23858	0.00169
1.28934	0.00113
1.30964	0.00059
1.40102	0.00068
1.48223	0.00045
1.52284	-0.00009
1.69543	0.00003
1.86802	0.00026
1.95939	0.00153
2.27411	0.00196
2.48731	0.00154
2.60914	0.00215
2.85279	0.00265
2.97462	0.00297
3.02538	0.00333
3.18782	0.00376
3.26904	0.00320
3.29949	0.00314
3.40102	0.00260
3.44162	0.00208
3.46193	0.00230
3.54315	0.00147
3.66497	0.00094
3.72589	0.00129
3.94924	0.00122
4.14213	0.00119
4.25381	0.00142
4.49746	0.00187
4.64975	0.00257
4.72081	0.00275
4.92386	0.00239
5.06599	0.00240
5.12690	0.00301
5.30964	0.00312
5.42132	0.00354
5.46193	0.00363
5.60406	0.00346
5.70558	0.00379
5.76650	0.00370
6.04061	0.00403
6.17259	0.00434
6.26396	0.00363
6.50761	0.00387
6.67005	0.00308
6.76142	0.00299
7.01523	0.00273
7.18782	0.00267
7.27919	0.00325
7.52284	0.00368
7.67513	0.00430
7.75635	0.00396
7.95939	0.00400
8.11168	0.00429
8.20305	0.00494
8.39594	0.00544
8.51777	0.00498
8.56853	0.00495
8.69036	0.00578
8.79188	0.00649
8.84264	0.00718
9.07614	0.00792
9.23858	0.00793
9.31980	0.00738
9.60406	0.00720
9.77665	0.00740
9.97970	0.00764
10.23350	0.00705
10.40609	0.00658
10.48731	0.00629
10.61929	0.00714
10.71066	0.00659
10.73096	0.00720
10.82234	0.00799
10.87310	0.00807
10.89340	0.00843
10.98477	0.00944
11.03553	0.01034
11.05584	0.01063
11.17766	0.01014
11.26904	0.01007
11.28934	0.01039
11.43147	0.01066
11.55330	0.00982
11.66497	0.01006
11.85787	0.00997
11.97970	0.01053
12.04061	0.01041
12.21320	0.01107
12.32487	0.01183
12.35533	0.01198
12.52792	0.01172
12.63959	0.01253
12.69036	0.01338
12.85279	0.01375
12.95431	0.01448
13.04569	0.01505
13.19797	0.01558
13.27919	0.01609
13.32995	0.01590
13.52284	0.01573
13.59391	0.01581
13.63452	0.01547
13.72589	0.01577
13.79695	0.01697
13.82741	0.01734
13.94924	0.01847
