Black Body Radiation Experiment Wed, Mar 6, 2024 1:34 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	-0.00081
0.02030	0.00040
0.03046	0.00092
0.03046	0.00091
0.03046	0.00053
0.03046	-0.00005
0.03046	-0.00067
0.03046	-0.00093
0.03046	-0.00042
0.03046	0.00011
0.03046	0.00068
0.04061	0.00170
0.06091	0.00174
0.13198	0.00165
0.18274	0.00100
0.43655	0.00056
0.62944	0.00060
0.72081	0.00103
1.01523	0.00051
1.24873	0.00103
1.37056	0.00136
1.66497	0.00148
1.86802	0.00135
1.94924	0.00154
2.23350	0.00044
2.39594	-0.00033
2.47716	-0.00026
2.61929	0.00013
2.71066	-0.00017
2.76142	0.00051
2.90355	0.00018
3.00508	0.00020
3.04569	0.00006
3.23858	-0.00054
3.42132	-0.00039
3.51269	-0.00039
3.88832	-0.00021
4.18274	0.00032
4.31472	0.00143
4.67005	0.00198
4.97462	0.00174
5.09645	0.00164
5.58376	0.00165
5.85787	0.00192
5.96954	0.00173
6.37563	0.00114
6.60914	0.00124
6.72081	0.00120
6.99492	0.00193
7.15736	0.00297
7.24873	0.00397
7.48223	0.00448
7.64467	0.00426
7.74619	0.00395
8.00000	0.00317
8.19289	0.00256
8.27411	0.00162
8.47716	0.00133
8.59898	0.00140
8.67005	0.00194
8.86294	0.00231
8.97462	0.00334
9.01523	0.00488
9.20812	0.00537
9.32995	0.00607
9.39086	0.00613
9.56345	0.00486
9.67513	0.00460
9.72589	0.00528
9.90863	0.00587
10.02030	0.00556
10.10152	0.00553
10.28426	0.00473
10.43655	0.00499
10.49746	0.00521
10.83249	0.00548
11.01523	0.00605
11.08629	0.00598
11.34010	0.00622
11.53299	0.00692
11.59391	0.00791
11.83756	0.00782
12.00000	0.00732
12.05076	0.00779
12.24365	0.00683
12.35533	0.00636
12.40609	0.00639
12.50761	0.00677
12.58883	0.00680
12.62944	0.00782
12.79188	0.00851
12.90355	0.00877
12.94416	0.00852
13.13706	0.00857
13.23858	0.00863
13.27919	0.00883
13.44162	0.00769
13.54315	0.00726
13.58376	0.00700
13.72589	0.00632
13.83756	0.00610
13.88832	0.00684
14.05076	0.00713
14.15228	0.00717
14.18274	0.00742
14.35533	0.00774
14.47716	0.00819
14.52792	0.00881
14.67005	0.00829
14.77157	0.00851
14.82234	0.00834
14.96447	0.00860
15.04569	0.00939
15.07614	0.01033
15.18782	0.01021
15.24873	0.01060
15.26904	0.01099
15.37056	0.01114
15.41117	0.01162
15.43147	0.01178
15.53299	0.01184
15.62437	0.01226
15.67513	0.01274
15.95939	0.01301
16.09137	0.01307
16.16244	0.01390
16.36548	0.01396
16.49746	0.01400
16.56853	0.01406
16.70051	0.01507
16.79188	0.01595
16.83249	0.01632
16.94416	0.01665
17.01523	0.01725
17.05584	0.01850
17.15736	0.01894
17.20812	0.01932
17.24873	0.02118
17.37056	0.02133
17.46193	0.02140
17.51269	0.02302
17.72589	0.02449
17.84772	0.02586
17.89848	0.02714
18.08122	0.02925
18.17259	0.03117
18.21320	0.03414
18.32487	0.03618
18.41624	0.03930
18.45685	0.04287
18.60914	0.04569
18.72081	0.04985
18.76142	0.05509
18.95431	0.05983
19.02538	0.06623
19.07614	0.07390
19.21827	0.08160
19.28934	0.08962
19.37056	0.09982
19.54315	0.11046
19.60406	0.12285
19.67513	0.13643
19.81726	0.15044
19.87817	0.16634
19.94924	0.18371
20.06091	0.20079
20.13198	0.21958
20.18274	0.23915
20.26396	0.25697
20.30457	0.27568
20.32487	0.29518
20.40609	0.31304
20.45685	0.33431
20.48731	0.35929
20.59898	0.38490
20.67005	0.41668
20.75127	0.45383
20.86294	0.49009
20.90355	0.53256
20.97462	0.58113
21.10660	0.62831
21.16751	0.68498
21.21827	0.74949
21.39086	0.81612
21.48223	0.89364
21.57360	0.97724
21.70558	1.05939
21.79695	1.14725
21.87817	1.23257
22.01015	1.30779
22.08122	1.37903
22.12183	1.44280
22.21320	1.49413
22.26396	1.54370
22.30457	1.58616
22.41624	1.62117
22.47716	1.65167
22.54822	1.67279
22.68020	1.68364
22.80203	1.68999
22.83249	1.68706
22.94416	1.67759
22.98477	1.66366
23.00508	1.64606
23.01523	1.62809
23.03553	1.61280
23.04569	1.59725
23.08629	1.58648
23.10660	1.57274
23.12690	1.55233
23.17766	1.53264
23.26904	1.50604
23.30964	1.46911
23.46193	1.42971
23.56345	1.37927
23.59391	1.31430
23.75635	1.24912
23.88832	1.17565
23.93909	1.09306
24.10152	1.01347
24.22335	0.92904
24.26396	0.84076
24.39594	0.76379
24.49746	0.68841
24.52792	0.61587
24.63959	0.55685
24.71066	0.49998
24.74112	0.44660
24.81218	0.40701
24.87310	0.36838
24.89340	0.33217
24.95431	0.30465
25.02538	0.27713
25.05584	0.24894
25.15736	0.22753
25.23858	0.20491
25.25888	0.18236
25.38071	0.16381
25.48223	0.14492
25.52284	0.12621
25.65482	0.11102
25.76650	0.09637
25.81726	0.08287
25.94924	0.07304
26.04061	0.06301
26.09137	0.05398
26.22335	0.04747
26.32487	0.04107
26.37563	0.03543
26.46701	0.03163
26.53807	0.02791
26.57868	0.02423
26.71066	0.02258
26.78173	0.02071
26.81218	0.01936
26.89340	0.01884
26.98477	0.01817
27.03553	0.01829
27.16751	0.01810
27.25888	0.01736
27.28934	0.01610
27.40102	0.01552
27.51269	0.01423
27.56345	0.01360
27.71574	0.01362
27.80711	0.01304
27.84772	0.01254
27.97970	0.01275
28.06091	0.01307
28.10152	0.01275
28.20305	0.01300
28.27411	0.01270
28.31472	0.01249
28.43655	0.01265
28.55838	0.01249
28.60914	0.01269
28.76142	0.01295
28.85279	0.01223
28.90355	0.01120
29.06599	0.01045
29.18782	0.01015
29.24873	0.00960
29.38071	0.00928
