Black Body Radiation Experiment Wed, Mar 20, 2024 1:38 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00387
0.01033	0.00279
0.01033	0.00180
0.01033	0.00090
0.01033	0.00009
0.01033	-0.00065
0.01033	-0.00131
0.01033	-0.00229
0.01033	-0.00314
0.01033	-0.00205
0.01033	-0.00272
0.01033	-0.00309
0.02067	-0.00379
0.02067	-0.00238
0.02067	-0.00085
0.02067	-0.00050
0.02067	-0.00120
0.02067	-0.00028
0.02067	0.00006
0.02067	-0.00077
0.03100	-0.00148
0.04133	-0.00087
0.05167	-0.00198
0.06200	-0.00345
0.08266	-0.00360
0.08266	-0.00138
0.08266	-0.00051
0.09300	0.00021
0.10333	-0.00035
0.12400	-0.00039
0.13433	-0.00086
0.17566	-0.00188
0.24799	-0.00157
0.29966	-0.00199
0.43399	-0.00304
0.53732	-0.00266
0.57865	-0.00175
0.66131	-0.00085
0.74398	0.00012
0.80597	0.00135
1.07463	0.00147
1.22963	0.00098
1.28129	0.00044
1.33296	-0.00025
1.35362	-0.00096
1.37429	-0.00168
1.50862	-0.00209
1.61195	-0.00115
1.66361	-0.00144
1.80828	-0.00122
1.92194	-0.00071
1.98394	0.00022
2.20093	0.00004
2.33526	-0.00085
2.38693	-0.00142
2.58325	-0.00272
2.76925	-0.00453
2.85191	-0.00319
3.17223	-0.00292
3.36856	-0.00132
3.46156	-0.00043
3.74055	0.00074
3.91621	0.00064
3.98854	0.00248
4.29853	0.00257
4.45353	0.00207
4.50519	0.00105
4.66019	-0.00053
4.78418	-0.00119
4.81518	-0.00150
4.99084	-0.00265
5.11484	-0.00165
5.16651	-0.00212
5.37317	-0.00138
5.51783	-0.00083
5.59016	0.00027
5.79682	0.00043
5.90015	0.00063
5.95182	0.00060
6.15848	0.00076
6.32380	0.00064
6.40647	-0.00034
6.63379	-0.00005
6.77846	0.00052
6.85079	0.00049
7.08845	0.00047
7.26411	0.00127
7.33644	0.00123
7.57410	0.00196
7.71876	0.00144
7.78076	0.00129
7.98742	0.00089
8.08042	0.00119
8.17341	0.00069
8.39041	0.00090
8.56607	0.00089
8.62807	0.00164
8.79339	0.00070
8.86572	0.00158
8.89672	0.00091
9.01039	0.00101
9.06205	-0.00018
9.09305	0.00011
