Black Body Radiation Experiment Wed, Mar 20, 2024 2:25 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00652
0.01033	0.00249
0.01033	-0.00003
0.01033	-0.00135
0.01033	-0.00174
0.01033	-0.00150
0.01033	-0.00091
0.01033	-0.00106
0.01033	-0.00075
0.01033	-0.00169
0.01033	-0.00162
0.02067	-0.00282
0.08266	-0.00318
0.24799	-0.00221
0.35132	-0.00262
0.38232	-0.00189
0.49598	-0.00169
0.58898	-0.00033
0.68198	0.00035
0.83697	0.00083
0.89897	0.00080
0.94030	0.00011
1.10563	-0.00069
1.20896	-0.00162
1.26063	-0.00170
1.36396	-0.00187
1.43629	-0.00363
1.47762	-0.00405
1.65328	-0.00446
1.78761	-0.00310
1.84961	-0.00173
1.98394	-0.00080
2.13893	-0.00138
2.22160	-0.00050
2.38693	-0.00072
2.51092	-0.00103
2.54192	-0.00060
2.76925	-0.00037
2.94491	-0.00033
3.03791	-0.00082
3.39956	-0.00026
3.67855	0.00063
3.76122	0.00159
4.14354	0.00116
4.41220	-0.00022
4.49486	0.00044
4.78418	0.00024
4.94951	-0.00028
5.01151	0.00026
5.21817	0.00009
5.38350	-0.00025
5.43516	-0.00090
5.57983	-0.00061
5.66249	-0.00055
5.70382	-0.00123
5.84848	-0.00191
5.97248	-0.00324
6.00348	-0.00215
6.27214	-0.00175
6.44780	-0.00115
6.56146	-0.00072
6.90245	-0.00079
7.08845	-0.00031
7.16078	-0.00073
7.34677	-0.00032
7.47077	-0.00067
7.52243	-0.00066
7.74976	-0.00138
7.93575	-0.00280
8.00808	-0.00219
8.29741	-0.00177
8.48340	-0.00009
8.60740	0.00101
8.89672	0.00132
9.10338	0.00273
9.22738	0.00286
9.48571	0.00352
9.63037	0.00376
9.73370	0.00339
10.02302	0.00216
10.18835	0.00045
10.25035	-0.00005
10.40534	-0.00077
10.49834	-0.00045
10.53967	-0.00127
10.67400	-0.00202
10.78766	-0.00132
10.81866	-0.00085
11.02532	-0.00050
11.16999	0.00015
11.25265	-0.00050
11.44898	-0.00049
11.58331	-0.00052
11.66597	0.00030
11.84163	0.00034
12.01729	0.00035
12.07929	-0.00095
12.24462	-0.00098
12.42028	-0.00062
12.51328	-0.00035
12.69927	-0.00054
12.85427	-0.00043
12.92660	-0.00145
13.21592	-0.00104
13.39158	0.00062
13.46392	0.00134
13.70157	0.00151
13.88757	0.00142
13.94957	0.00129
14.12523	0.00091
14.20789	0.00086
14.25956	0.00058
14.45588	0.00010
14.53855	-0.00062
14.59021	-0.00090
14.71421	-0.00062
