Black Body Radiation Experiment Wed, Mar 20, 2024 2:36 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00249
0.01033	0.00152
0.01033	0.00066
0.01033	-0.00005
0.01033	-0.00061
0.01033	-0.00101
0.01033	-0.00124
0.01033	-0.00085
0.01033	-0.00013
0.01033	-0.00078
0.01033	-0.00135
0.01033	-0.00141
0.01033	-0.00045
0.01033	0.00092
0.01033	0.00149
0.01033	0.00091
0.01033	-0.00013
0.01033	-0.00053
0.01033	-0.00051
0.01033	-0.00052
0.01033	-0.00014
0.01033	-0.00131
0.01033	-0.00164
0.01033	-0.00205
0.01033	-0.00182
0.01033	-0.00100
0.01033	-0.00026
0.01033	0.00003
0.01033	-0.00043
0.01033	-0.00158
0.01033	-0.00203
0.01033	-0.00139
0.01033	-0.00043
0.01033	-0.00092
0.01033	-0.00223
0.01033	-0.00297
0.01033	-0.00333
0.01033	-0.00209
0.01033	-0.00078
0.01033	-0.00003
0.01033	-0.00152
0.01033	-0.00208
0.01033	-0.00251
0.02067	-0.00242
0.02067	-0.00222
0.02067	-0.00368
0.02067	-0.00411
0.04133	-0.00395
0.11366	-0.00339
0.20666	-0.00248
0.23766	-0.00105
0.30999	-0.00112
0.30999	-0.00210
0.30999	-0.00141
0.30999	-0.00150
0.30999	-0.00215
0.30999	-0.00251
0.30999	-0.00310
0.30999	-0.00144
0.30999	-0.00127
0.30999	-0.00193
0.34099	-0.00220
0.37199	-0.00143
0.44432	-0.00319
0.45465	-0.00347
0.45465	-0.00253
0.47532	-0.00272
0.49598	-0.00269
0.52698	-0.00248
0.52698	-0.00066
0.55798	0.00106
0.60965	0.00159
0.67165	0.00141
0.73364	0.00077
0.75431	0.00029
0.79564	-0.00105
0.79564	-0.00137
0.79564	-0.00216
0.79564	-0.00393
0.80597	-0.00415
0.80597	-0.00375
0.85764	-0.00270
0.88864	-0.00233
0.96097	-0.00235
1.03330	-0.00170
1.06430	-0.00306
1.13663	-0.00185
1.16763	-0.00164
1.17796	-0.00098
1.23996	-0.00129
1.30196	-0.00130
1.33296	-0.00089
1.49829	0.00071
1.65328	0.00025
1.75661	0.00088
1.82894	0.00016
1.84961	0.00055
1.87028	-0.00041
1.96327	0.00068
2.01494	0.00001
2.03560	0.00013
2.09760	-0.00046
2.13893	-0.00086
2.15960	-0.00134
2.22160	-0.00131
2.27326	-0.00057
2.30426	-0.00019
2.38693	0.00053
2.44892	0.00052
2.46959	0.00088
2.52126	0.00131
2.55225	0.00039
2.57292	-0.00022
2.62459	-0.00024
2.63492	-0.00017
2.63492	-0.00034
2.67625	-0.00014
2.71758	0.00132
2.80025	0.00156
2.83125	0.00334
2.86224	0.00231
2.86224	0.00210
2.86224	0.00196
2.91391	0.00114
2.97591	0.00055
3.06890	-0.00007
3.08957	-0.00022
3.20323	-0.00083
3.23423	-0.00052
3.23423	0.00055
3.31690	0.00155
3.38923	0.00202
3.45123	0.00093
3.47189	0.00090
3.50289	0.00069
3.50289	0.00024
3.51322	-0.00062
3.57522	-0.00084
3.61655	-0.00006
3.62689	-0.00010
3.67855	0.00097
3.67855	0.00193
3.67855	0.00203
3.69922	0.00120
3.74055	0.00113
3.75088	0.00112
3.75088	0.00080
3.76122	0.00075
3.77155	-0.00015
3.77155	0.00106
3.78188	0.00126
3.88521	0.00045
3.92654	0.00009
3.92654	-0.00081
3.99888	-0.00135
4.00921	-0.00228
4.01954	-0.00116
4.01954	-0.00128
4.07121	-0.00069
4.11254	0.00012
4.12287	0.00147
4.12287	0.00307
4.12287	0.00349
4.14354	0.00245
4.14354	0.00200
4.15387	0.00120
4.16420	0.00137
4.20554	0.00210
4.22620	0.00252
4.22620	0.00268
4.24687	0.00206
4.25720	0.00259
4.26753	0.00287
4.27787	0.00307
4.29853	0.00317
4.29853	0.00236
4.29853	0.00187
4.29853	0.00155
4.29853	0.00173
4.30887	0.00294
4.33987	0.00262
4.41220	0.00245
4.43286	0.00123
4.52586	0.00079
4.58786	0.00013
4.60852	-0.00030
4.68085	-0.00076
4.71185	-0.00042
4.73252	-0.00143
4.76352	-0.00144
4.80485	-0.00123
4.82552	-0.00046
4.85652	0.00065
4.85652	0.00046
4.85652	0.00122
4.90818	0.00062
4.93918	0.00145
4.95985	0.00103
4.98051	0.00078
4.99084	0.00136
5.05284	0.00029
5.13551	-0.00012
5.17684	-0.00056
5.31117	-0.00132
5.39383	-0.00065
5.42483	-0.00201
5.50750	-0.00191
5.59016	-0.00202
5.64182	-0.00130
5.77615	-0.00087
5.86915	-0.00126
5.91048	-0.00013
6.04481	-0.00001
6.10681	-0.00027
6.12748	0.00026
6.15848	0.00010
6.22047	0.00072
6.25147	-0.00030
6.32380	0.00029
6.33414	0.00098
6.34447	0.00127
6.37547	0.00119
6.41680	0.00007
6.42713	0.00018
6.52013	-0.00066
6.58213	-0.00046
6.60279	-0.00068
6.66479	-0.00053
6.72679	-0.00065
6.74746	-0.00014
6.77846	0.00081
6.84045	0.00163
6.86112	0.00127
6.91279	0.00077
6.95412	-0.00030
6.98512	-0.00121
7.07811	-0.00154
7.14011	-0.00160
7.17111	-0.00214
7.30544	-0.00249
7.39844	-0.00197
7.45010	-0.00053
7.58443	-0.00004
7.65676	-0.00059
7.71876	-0.00060
7.89442	0.00068
7.97709	-0.00023
8.02875	-0.00000
8.13208	0.00038
8.18375	0.00092
8.19408	0.00093
8.21474	0.00080
8.24574	0.00222
8.26641	0.00228
8.34907	0.00230
8.40074	0.00023
8.43174	0.00074
8.52474	0.00022
8.59707	-0.00082
8.62807	-0.00088
8.70040	-0.00031
8.76239	-0.00001
8.81406	-0.00015
8.96905	0.00089
9.09305	0.00214
9.14472	0.00273
9.26871	0.00235
9.40304	0.00264
9.47537	0.00366
9.67170	0.00303
9.77503	0.00196
9.81636	0.00164
9.90936	0.00104
9.96102	-0.00014
9.97136	-0.00061
9.98169	-0.00007
10.00236	0.00003
10.01269	-0.00094
10.06435	-0.00148
10.11602	-0.00014
10.13669	-0.00004
10.21935	-0.00039
10.26068	-0.00109
10.28135	-0.00033
10.33301	0.00008
10.37434	0.00141
10.37434	0.00151
10.39501	0.00149
10.42601	0.00087
10.48801	-0.00009
10.51901	0.00037
10.59134	0.00121
10.64300	0.00154
10.65334	0.00066
10.72567	0.00053
10.77733	0.00087
10.79800	0.00218
10.86000	0.00214
10.91166	0.00126
10.94266	0.00005
11.01499	-0.00010
11.07699	-0.00082
11.09766	0.00030
11.16999	0.00060
11.23198	0.00040
11.26298	0.00044
11.31465	0.00148
11.36631	0.00205
11.40765	0.00210
11.51098	0.00189
11.54197	0.00174
11.56264	0.00143
11.64530	0.00095
11.70730	0.00022
11.76930	0.00087
11.85197	0.00077
11.91396	0.00108
11.93463	0.00177
11.99663	0.00203
12.02763	0.00161
12.03796	0.00138
12.05863	0.00174
12.07929	0.00181
12.07929	0.00137
12.07929	0.00064
12.07929	0.00061
12.07929	0.00105
12.08962	0.00234
12.09996	0.00260
12.14129	0.00249
12.16196	0.00223
12.23429	0.00193
12.27562	0.00295
12.29628	0.00316
12.32728	0.00374
12.33762	0.00279
12.34795	0.00212
12.34795	0.00176
12.37895	0.00276
12.39961	0.00374
12.47195	0.00392
12.51328	0.00341
12.53394	0.00392
12.56494	0.00483
12.58561	0.00628
12.60628	0.00687
12.63727	0.00752
12.66827	0.00665
12.68894	0.00654
12.73027	0.00599
12.74060	0.00622
12.75094	0.00497
12.81294	0.00452
12.84393	0.00365
12.85427	0.00479
12.89560	0.00570
12.95760	0.00664
12.98860	0.00660
13.08159	0.00767
13.13326	0.00765
13.15392	0.00825
13.28825	0.00885
13.33992	0.00902
13.36058	0.00845
13.43292	0.00823
13.50525	0.00745
13.53625	0.00810
13.60858	0.00797
13.64991	0.00789
13.67058	0.00710
13.71191	0.00724
13.74291	0.00693
13.75324	0.00755
13.78424	0.00894
13.83590	0.00944
13.85657	0.01046
13.90823	0.01005
13.92890	0.01027
13.94957	0.00989
