Black Body Radiation Experiment Wed, Mar 20, 2024 1:49 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00499
0.01033	0.00035
0.01033	-0.00211
0.01033	-0.00285
0.01033	-0.00233
0.01033	-0.00101
0.01033	0.00063
0.01033	0.00107
0.01033	0.00069
0.01033	0.00057
0.01033	-0.00018
0.01033	-0.00122
0.01033	-0.00342
0.01033	-0.00418
0.01033	-0.00484
0.02067	-0.00419
0.02067	-0.00432
0.03100	-0.00259
0.04133	-0.00107
0.10333	-0.00062
0.15500	-0.00020
0.23766	-0.00041
0.24799	-0.00034
0.24799	-0.00073
0.24799	-0.00150
0.24799	-0.00100
0.24799	0.00000
0.24799	0.00072
0.23766	0.00086
0.23766	0.00176
0.23766	0.00218
0.23766	0.00142
0.23766	0.00021
0.23766	-0.00177
0.23766	-0.00348
0.23766	-0.00503
0.23766	-0.00565
0.24799	-0.00397
0.24799	-0.00225
0.24799	-0.00150
0.24799	-0.00113
0.24799	-0.00081
0.24799	-0.00017
0.24799	-0.00003
0.24799	-0.00059
0.24799	-0.00061
0.26866	-0.00115
0.33066	-0.00124
0.42365	-0.00010
0.48565	0.00102
0.68198	0.00057
0.77498	0.00118
0.80597	0.00063
0.84731	0.00055
0.86797	0.00020
0.87831	-0.00068
0.89897	-0.00177
0.90931	-0.00151
0.91964	-0.00159
0.97130	-0.00150
1.00230	-0.00025
1.01264	-0.00079
1.08497	-0.00082
1.12630	0.00028
1.13663	0.00004
1.17796	0.00169
1.19863	0.00124
1.19863	0.00069
1.22963	-0.00032
1.26063	-0.00050
1.29163	0.00011
1.32263	0.00015
1.46729	0.00014
1.62228	-0.00060
1.70495	-0.00015
1.97361	-0.00055
2.10793	-0.00021
2.14927	0.00053
2.22160	0.00041
2.27326	-0.00006
2.29393	-0.00103
2.34559	-0.00050
2.37659	-0.00007
2.37659	-0.00033
2.40759	-0.00035
2.43859	-0.00057
2.47992	-0.00084
2.51092	-0.00129
2.58325	-0.00121
2.62459	-0.00160
2.64525	-0.00245
2.72792	-0.00314
2.76925	-0.00325
2.78991	-0.00238
2.82091	-0.00255
2.83125	-0.00175
2.83125	-0.00162
2.83125	-0.00149
2.84158	0.00060
2.85191	0.00146
