Black Body Radiation Experiment Wed, Mar 20, 2024 1:46 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00364
0.01033	0.00100
0.01033	-0.00066
0.01033	-0.00151
0.01033	-0.00171
0.01033	-0.00142
0.02067	-0.00081
0.03100	0.00046
0.08266	0.00068
0.11366	0.00033
0.19633	0.00054
0.23766	0.00087
0.24799	0.00036
0.28932	0.00066
0.32032	0.00069
0.33066	0.00029
0.37199	-0.00002
0.39265	-0.00034
0.41332	-0.00071
0.50632	-0.00075
0.57865	-0.00170
0.59931	-0.00277
0.72331	-0.00378
0.80597	-0.00294
0.83697	-0.00324
0.94030	-0.00295
1.00230	-0.00258
1.04363	-0.00221
1.21930	-0.00181
1.31229	-0.00287
1.35362	-0.00250
1.50862	-0.00220
1.63262	-0.00310
1.67395	-0.00322
1.88061	-0.00349
1.99427	-0.00325
2.04594	-0.00442
2.15960	-0.00447
2.22160	-0.00318
2.24226	-0.00302
2.36626	-0.00197
2.50059	-0.00258
2.57292	-0.00130
2.86224	-0.00069
3.02757	-0.00087
3.07924	-0.00064
3.25490	-0.00070
3.35823	-0.00110
3.39956	-0.00289
3.49256	-0.00300
3.54422	-0.00355
3.58556	-0.00342
3.75088	-0.00278
3.90588	-0.00296
3.97821	-0.00270
4.21587	-0.00320
4.31920	-0.00161
4.36053	-0.00140
4.49486	-0.00110
4.60852	-0.00075
4.63952	-0.00125
4.78418	-0.00142
4.87718	-0.00178
4.90818	-0.00066
5.01151	-0.00139
5.11484	-0.00135
5.15617	-0.00212
5.28017	-0.00143
5.32150	-0.00012
5.34217	0.00004
5.42483	-0.00038
5.52816	0.00069
5.57983	0.00015
5.74515	0.00048
5.85882	0.00142
5.90015	0.00090
6.05515	-0.00010
6.16881	-0.00004
6.23081	-0.00071
6.38580	-0.00111
6.48913	-0.00187
6.54080	-0.00301
6.68546	-0.00455
6.79912	-0.00435
6.84045	-0.00445
6.99545	-0.00430
7.06778	-0.00273
7.09878	-0.00228
7.20211	-0.00190
7.28477	-0.00107
7.34677	-0.00157
7.49143	-0.00172
7.52243	-0.00239
7.52243	-0.00256
7.56377	-0.00238
7.60510	-0.00240
7.65676	-0.00233
7.69809	-0.00245
7.84276	-0.00129
7.97709	-0.00109
8.03908	-0.00115
8.24574	-0.00177
8.40074	-0.00223
8.47307	-0.00244
8.65906	-0.00274
8.78306	-0.00326
8.83473	-0.00384
9.00005	-0.00382
9.08272	-0.00351
9.13438	-0.00284
9.25838	-0.00238
9.35138	-0.00101
9.38238	0.00007
9.50637	-0.00079
9.60970	-0.00080
9.66137	-0.00194
9.88869	-0.00274
10.05402	-0.00290
10.15735	-0.00347
10.31235	-0.00335
10.39501	-0.00229
10.43634	-0.00158
10.57067	-0.00093
10.66367	0.00155
10.70500	0.00201
10.81866	0.00119
10.88066	0.00209
10.89099	0.00124
10.99433	0.00124
11.08732	0.00111
11.14932	0.00050
11.25265	0.00091
11.28365	0.00092
11.29398	0.00002
