Black Body Radiation Experiment Wed, Mar 20, 2024 1:44 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00266
0.01033	0.00256
0.01033	0.00213
0.01033	0.00145
0.01033	0.00059
0.01033	-0.00038
0.01033	-0.00138
0.01033	-0.00201
0.01033	-0.00286
0.01033	-0.00277
0.01033	-0.00387
0.02067	-0.00570
0.02067	-0.00537
0.02067	-0.00509
0.02067	-0.00412
0.02067	-0.00358
0.03100	-0.00285
0.04133	-0.00324
0.10333	-0.00353
0.14466	-0.00386
0.26866	-0.00402
0.36166	-0.00405
0.41332	-0.00555
0.52698	-0.00632
0.53732	-0.00534
0.54765	-0.00500
0.54765	-0.00378
0.54765	-0.00293
0.56832	-0.00199
0.60965	-0.00258
0.66131	-0.00306
0.68198	-0.00260
0.81631	-0.00234
0.97130	-0.00187
1.07463	-0.00335
1.45695	-0.00342
1.70495	-0.00200
1.81861	-0.00199
2.37659	-0.00183
2.74858	-0.00095
2.92424	-0.00079
3.23423	-0.00131
3.40989	-0.00194
3.48223	-0.00142
3.70955	-0.00106
3.80255	-0.00126
3.84388	-0.00261
3.94721	-0.00296
4.05054	-0.00223
4.11254	-0.00320
4.25720	-0.00273
4.37086	-0.00272
4.41220	-0.00316
4.61886	-0.00403
4.81518	-0.00438
4.89785	-0.00461
5.25950	-0.00423
5.48683	-0.00292
5.56949	-0.00273
5.83815	-0.00201
6.03448	-0.00115
6.12748	-0.00047
6.40647	-0.00022
6.57180	-0.00184
6.65446	-0.00233
6.91279	-0.00358
7.07811	-0.00314
7.17111	-0.00390
7.40877	-0.00397
7.58443	-0.00342
7.66710	-0.00330
8.01842	-0.00316
8.29741	-0.00297
8.46274	-0.00239
8.78306	-0.00240
8.92772	-0.00119
9.01039	-0.00050
9.17571	-0.00019
9.28938	0.00109
9.34104	0.00130
9.45471	0.00075
9.49604	0.00055
9.54770	0.00003
9.69237	-0.00170
9.80603	-0.00219
9.89903	-0.00191
10.12635	-0.00149
10.26068	-0.00080
10.34335	-0.00180
10.55001	-0.00207
10.69467	-0.00209
10.75667	-0.00170
10.95299	-0.00108
11.10799	-0.00011
11.15965	-0.00126
11.27332	-0.00172
11.31465	-0.00037
11.32498	0.00075
11.38698	0.00081
11.42831	0.00067
11.43864	0.00040
11.50064	-0.00048
11.56264	-0.00086
11.58331	-0.00076
11.63497	0.00040
11.66597	-0.00051
11.68664	-0.00094
11.80030	-0.00120
11.89330	-0.00071
11.94496	-0.00102
12.07929	-0.00058
12.20329	-0.00024
12.25495	0.00068
12.43061	0.00089
12.53394	0.00138
12.59594	0.00197
12.76127	0.00222
12.84393	0.00186
12.87493	0.00189
12.96793	0.00106
13.02993	0.00062
13.02993	-0.00044
13.05059	-0.00079
13.05059	-0.00033
13.06093	-0.00019
13.09193	-0.00007
13.16426	-0.00035
13.21592	-0.00025
13.38125	0.00041
13.44325	0.00118
13.47425	0.00226
