Black Body Radiation Experiment Wed, Mar 13, 2024 8:36 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	0.00147
0.01015	-0.00028
0.01015	-0.00116
0.02030	-0.00135
0.02030	-0.00103
0.07107	-0.00038
0.12183	0.00041
0.34518	0.00092
0.45685	0.00147
0.49746	-0.00007
0.70051	0.00074
0.79188	0.00095
0.82234	0.00019
0.95431	-0.00117
1.05584	-0.00022
1.10660	0.00074
1.19797	0.00109
1.25888	0.00228
1.27919	0.00170
1.37056	0.00140
1.45178	0.00041
1.49239	-0.00055
1.67513	0.00016
1.75635	-0.00020
1.78680	-0.00103
1.92893	-0.00246
2.05076	-0.00129
2.11168	-0.00050
2.25381	0.00126
2.39594	0.00083
2.44670	0.00148
2.61929	0.00182
2.74112	0.00060
2.80203	0.00157
3.04569	0.00168
3.21827	0.00251
3.27919	0.00243
3.51269	0.00088
3.66497	0.00208
3.73604	0.00157
4.04061	0.00198
4.21320	0.00041
4.27411	0.00103
4.45685	-0.00037
4.60914	-0.00119
4.64975	-0.00158
4.89340	-0.00140
5.08629	-0.00082
5.15736	-0.00111
5.40102	-0.00151
5.57360	-0.00035
5.65482	-0.00102
5.93909	-0.00063
6.11168	-0.00084
6.20305	-0.00014
6.42640	-0.00060
6.56853	-0.00116
6.62944	-0.00161
6.83249	-0.00119
6.97462	-0.00075
7.03553	-0.00001
7.24873	0.00091
7.37056	0.00095
7.45178	0.00064
7.73604	0.00135
7.87817	0.00219
7.94924	0.00300
8.13198	0.00265
8.24365	0.00134
8.30457	0.00255
8.48731	0.00254
8.60914	0.00373
8.64975	0.00332
8.81218	0.00411
8.94416	0.00305
9.02538	0.00337
9.35025	0.00390
9.51269	0.00462
9.58376	0.00538
9.76650	0.00608
9.90863	0.00594
10.00000	0.00646
10.29442	0.00560
10.36548	0.00603
10.39594	0.00441
10.49746	0.00485
10.56853	0.00364
10.60914	0.00441
10.73096	0.00456
10.84264	0.00564
10.89340	0.00789
11.05584	0.00897
11.17766	0.00977
11.28934	0.00961
11.41117	0.00992
11.51269	0.01003
11.55330	0.00827
11.65482	0.00860
11.72589	0.00760
11.75635	0.00828
11.83756	0.00789
11.89848	0.00849
11.92893	0.01022
12.04061	0.01081
12.14213	0.01167
12.19289	0.01181
12.44670	0.01135
12.59898	0.01208
12.67005	0.01168
12.89340	0.01273
13.05584	0.01159
13.11675	0.01215
13.25888	0.01145
13.31980	0.01151
13.34010	0.01138
13.42132	0.01039
13.49239	0.01071
13.52284	0.01049
13.62437	0.01099
13.69543	0.01387
13.73604	0.01499
13.86802	0.01626
13.96954	0.01670
14.02030	0.01717
14.15228	0.01649
14.22335	0.01632
14.27411	0.01493
14.38579	0.01367
14.47716	0.01523
14.53807	0.01437
14.65990	0.01601
14.74112	0.01676
14.78173	0.01854
14.90355	0.01849
14.99492	0.02114
15.03553	0.02107
15.17766	0.02149
15.26904	0.02246
15.34010	0.02281
15.50254	0.02307
15.57360	0.02530
15.59391	0.02510
15.78680	0.02683
15.89848	0.02695
15.93909	0.02953
16.10152	0.03033
16.22335	0.03372
16.26396	0.03389
16.43655	0.03432
16.51777	0.03607
16.54822	0.03656
16.65990	0.03815
16.71066	0.03967
16.74112	0.04034
16.84264	0.04278
16.92386	0.04418
16.95431	0.04868
17.08629	0.05090
17.15736	0.05595
17.21827	0.05842
17.34010	0.06185
17.42132	0.06766
17.50254	0.07101
17.64467	0.07621
17.71574	0.08036
17.75635	0.08561
17.88832	0.09173
17.96954	0.09734
18.03046	0.10618
18.15228	0.11309
18.21320	0.12245
18.28426	0.13252
18.39594	0.14288
18.46701	0.15632
18.53807	0.16972
18.72081	0.18621
18.82234	0.20639
18.87310	0.22903
19.02538	0.25231
19.11675	0.27772
19.17766	0.30596
19.25888	0.33197
19.29949	0.35973
19.34010	0.39000
19.41117	0.41575
19.47208	0.44219
19.50254	0.46415
19.53299	0.48402
19.54315	0.49984
19.54315	0.51308
19.55330	0.52571
19.57360	0.53851
19.61421	0.55462
19.66497	0.57503
19.80711	0.60179
19.86802	0.63491
19.90863	0.67040
19.97970	0.70658
20.01015	0.74522
20.05076	0.78487
20.11168	0.81989
20.13198	0.85742
20.16244	0.89472
20.22335	0.92668
20.25381	0.96134
20.28426	0.99717
20.33503	1.02954
20.36548	1.06401
20.38579	1.09919
20.44670	1.13079
20.47716	1.16848
20.50761	1.20885
20.59898	1.24664
20.63959	1.29454
20.67005	1.34681
20.76142	1.39707
20.80203	1.45269
20.84264	1.50734
20.90355	1.55582
20.92386	1.60196
20.93401	1.64214
20.94416	1.67043
20.94416	1.69534
20.94416	1.71455
20.97462	1.72557
20.98477	1.74494
21.00508	1.76952
21.06599	1.79171
21.12690	1.82452
21.15736	1.86250
21.24873	1.90217
21.29949	1.94441
21.31980	1.98604
21.38071	2.02191
21.39086	2.05639
21.40102	2.08683
21.44162	2.11084
21.49239	2.13765
21.50254	2.16601
21.57360	2.18781
21.60406	2.21432
21.62437	2.24367
21.70558	2.27102
21.76650	2.29816
21.79695	2.32093
21.96954	2.34125
22.05076	2.35729
22.07107	2.37005
22.14213	2.37604
22.20305	2.38062
22.22335	2.38053
22.26396	2.37360
22.27411	2.36869
22.27411	2.36481
22.30457	2.35697
22.33503	2.35129
22.37563	2.34433
22.38579	2.33849
22.43655	2.33002
22.46701	2.32160
22.47716	2.30977
22.54822	2.29620
22.59898	2.27814
22.60914	2.25744
22.64975	2.23919
22.65990	2.21923
22.67005	2.20035
22.69036	2.18474
22.70051	2.16807
22.70051	2.15696
22.71066	2.14588
22.72081	2.13274
22.75127	2.12032
22.80203	2.10397
22.82234	2.08315
22.91371	2.05938
22.94416	2.03443
22.96447	2.00354
23.01523	1.97269
23.07614	1.93902
23.08629	1.90382
23.13706	1.86969
23.14721	1.83721
23.14721	1.80528
23.17766	1.77758
23.19797	1.75000
23.20812	1.72436
23.21827	1.69853
23.26904	1.67450
23.30964	1.64683
23.34010	1.61414
23.41117	1.58057
23.47208	1.54049
23.50254	1.49099
23.58376	1.44517
23.63452	1.39381
23.65482	1.33986
23.73604	1.28705
23.78680	1.23479
23.80711	1.18194
23.84772	1.13701
23.87817	1.09325
23.88832	1.04981
23.91878	1.01662
23.93909	0.98355
23.94924	0.95025
23.96954	0.92441
24.01015	0.89608
24.03046	0.86662
24.08122	0.83841
24.10152	0.81316
24.10152	0.78836
24.11168	0.76821
24.11168	0.74809
24.12183	0.72934
24.13198	0.71477
24.18274	0.70141
24.22335	0.68536
24.23350	0.66694
24.27411	0.64727
24.30457	0.62306
24.33503	0.59658
24.39594	0.57089
24.46701	0.54281
24.49746	0.51328
24.55838	0.48449
24.58883	0.45698
24.60914	0.42997
24.64975	0.40574
24.67005	0.38280
24.67005	0.36333
24.68020	0.34857
24.70051	0.33228
24.71066	0.32019
24.73096	0.30962
24.74112	0.30012
24.76142	0.28994
24.79188	0.28174
24.80203	0.27261
24.84264	0.26233
24.87310	0.25257
24.88325	0.24101
24.93401	0.23151
24.97462	0.22004
24.99492	0.20866
25.04569	0.19861
25.08629	0.18778
25.10660	0.17783
25.16751	0.16701
25.21827	0.15857
25.21827	0.15033
25.24873	0.14137
25.29949	0.13205
25.34010	0.12241
25.36041	0.11652
25.44162	0.10967
25.48223	0.10278
25.51269	0.09602
25.56345	0.08894
25.58376	0.08328
25.60406	0.07743
25.65482	0.07269
25.69543	0.06745
25.72589	0.06164
25.79695	0.05651
25.82741	0.05194
25.84772	0.04965
25.90863	0.04775
25.94924	0.04507
25.96954	0.04254
26.02030	0.03898
26.06091	0.03772
26.07107	0.03671
26.12183	0.03584
26.15228	0.03454
26.17259	0.03275
26.23350	0.03079
26.27411	0.02967
26.29442	0.02981
26.36548	0.03021
26.42640	0.02896
26.44670	0.02683
26.52792	0.02488
26.57868	0.02469
26.60914	0.02450
26.68020	0.02520
26.74112	0.02456
26.76142	0.02426
26.82234	0.02277
26.87310	0.02253
26.88325	0.02102
26.94416	0.02018
26.99492	0.01979
27.02538	0.01937
27.09645	0.02022
27.14721	0.02118
27.17766	0.02206
27.24873	0.02288
27.29949	0.02306
27.30964	0.02234
27.36041	0.02182
27.39086	0.02112
27.40102	0.02025
27.45178	0.01967
27.49239	0.02070
27.52284	0.01988
27.58376	0.01988
27.63452	0.01893
27.65482	0.01986
27.73604	0.02073
27.79695	0.02101
27.82741	0.02006
27.91878	0.02002
28.00000	0.01991
28.03046	0.01900
28.14213	0.01822
28.22335	0.01785
28.26396	0.01740
28.37563	0.01796
28.43655	0.01841
28.45685	0.02070
28.51777	0.02184
28.56853	0.02226
28.59898	0.02101
28.69036	0.01951
28.75127	0.01939
28.78173	0.01788
28.86294	0.01876
28.91371	0.01870
28.94416	0.02103
29.03553	0.02240
29.11675	0.02212
29.16751	0.02228
29.30964	0.02150
29.39086	0.02131
29.43147	0.01882
29.57360	0.01769
29.70558	0.01800
29.75635	0.01819
29.93909	0.01906
30.03046	0.01996
30.07107	0.02209
30.20305	0.02281
30.31472	0.02161
30.37563	0.02118
30.54822	0.01993
30.63959	0.01956
30.70051	0.01749
30.85279	0.01644
30.95431	0.01676
31.00508	0.01632
31.14721	0.01589
31.24873	0.01754
31.29949	0.01768
31.45178	0.01811
31.58376	0.01897
31.64467	0.01935
31.81726	0.01951
31.94924	0.02127
32.00000	0.02027
32.18274	0.02042
32.30457	0.02128
32.35533	0.02102
32.51777	0.02093
32.65990	0.02194
32.72081	0.02102
32.95431	0.02107
33.08629	0.02274
33.14721	0.02237
33.34010	0.02249
33.48223	0.02393
33.55330	0.02306
33.79695	0.02281
33.92893	0.02364
33.98985	0.02295
34.16244	0.02281
34.27411	0.02265
34.33503	0.02155
34.51777	0.02125
34.62944	0.02104
34.68020	0.01902
34.83249	0.01816
34.95431	0.01689
35.01523	0.01672
35.14721	0.01640
35.23858	0.01598
35.28934	0.01639
35.43147	0.01770
35.54315	0.01802
35.63452	0.01843
35.82741	0.01955
35.96954	0.02090
36.05076	0.02181
36.25381	0.02277
36.40609	0.02268
36.49746	0.02388
36.75127	0.02292
36.90355	0.02080
36.98477	0.02139
37.18782	0.02052
37.32995	0.02053
37.39086	0.02013
37.59391	0.02100
37.72589	0.02158
37.79695	0.02147
37.98985	0.02143
38.11168	0.02110
38.18274	0.01993
38.35533	0.01964
38.47716	0.01983
38.54822	0.02137
38.77157	0.02151
38.90355	0.02208
38.99492	0.02173
39.21827	0.02295
39.36041	0.02256
39.42132	0.02187
39.63452	0.02128
39.76650	0.02056
39.83756	0.02061
39.96954	0.02056
40.08122	0.02076
40.12183	0.02194
40.26396	0.02145
40.33503	0.02142
40.37563	0.02114
40.48731	0.02217
40.56853	0.02172
40.60914	0.02145
40.72081	0.02024
40.81218	0.02082
40.85279	0.02198
40.98477	0.02120
41.11675	0.02150
41.16751	0.02142
41.32995	0.02170
41.44162	0.02133
41.51269	0.01906
41.65482	0.01984
41.76650	0.01927
41.82741	0.01961
41.98985	0.01842
42.10152	0.02036
42.15228	0.02253
42.34518	0.02351
42.47716	0.02409
42.54822	0.02355
42.74112	0.02480
42.90355	0.02344
42.96447	0.02144
43.16751	0.02223
43.30964	0.02211
43.37056	0.02284
43.55330	0.02157
43.70558	0.02245
43.77665	0.02401
44.03046	0.02485
44.18274	0.02539
44.24365	0.02475
44.45685	0.02539
44.59898	0.02444
44.64975	0.02270
44.82234	0.02351
44.94416	0.02362
44.98477	0.02226
45.13706	0.02124
45.26904	0.02089
45.31980	0.02201
45.49239	0.02148
45.60406	0.02144
45.66497	0.02263
45.84772	0.02411
45.96954	0.02448
46.03046	0.02418
46.23350	0.02642
46.35533	0.02671
46.41624	0.02494
46.57868	0.02635
46.70051	0.02578
46.76142	0.02519
46.92386	0.02383
47.04569	0.02413
47.10660	0.02547
47.28934	0.02443
47.42132	0.02406
47.48223	0.02484
47.71574	0.02590
47.86802	0.02588
47.95939	0.02449
48.21320	0.02577
48.37563	0.02569
48.46701	0.02585
48.72081	0.02638
48.90355	0.02710
48.97462	0.02684
49.21827	0.02700
49.39086	0.02814
49.46193	0.02927
49.69543	0.03077
49.86802	0.03115
50.10152	0.03137
50.26396	0.03096
50.49746	0.03152
50.64975	0.03048
50.72081	0.03050
50.95431	0.02987
51.12690	0.02897
51.19797	0.02884
51.44162	0.02803
51.60406	0.02667
51.88832	0.02713
52.08122	0.02856
52.38579	0.02948
52.58883	0.02961
52.68020	0.02928
52.97462	0.02998
53.14721	0.03098
53.24873	0.03103
53.55330	0.03013
53.75635	0.03037
53.86802	0.02888
54.19289	0.02873
54.45685	0.02839
54.85279	0.03074
55.11675	0.02982
55.25888	0.03079
55.63452	0.03005
55.89848	0.03171
56.04061	0.02995
56.37563	0.03130
56.62944	0.03048
56.75127	0.03248
57.12690	0.03250
57.37056	0.03339
57.48223	0.03241
57.86802	0.03221
58.09137	0.03136
58.21320	0.03064
58.54822	0.02946
58.79188	0.03007
58.91371	0.02978
59.25888	0.03279
59.48223	0.03315
