Black Body Radiation Experiment Wed, Mar 13, 2024 7:58 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	-0.00606
0.01015	-0.00354
0.01015	-0.00155
0.07107	-0.00003
0.24365	0.00106
0.49746	0.00178
0.63959	0.00219
0.87310	0.00215
1.00508	0.00243
1.05584	0.00158
1.14721	0.00063
1.16751	0.00111
1.17766	0.00157
1.22843	0.00136
1.25888	0.00022
1.27919	0.00067
1.32995	-0.00074
1.38071	0.00048
1.41117	0.00006
1.51269	0.00035
1.59391	-0.00014
1.62437	-0.00098
1.73604	-0.00094
1.84772	-0.00069
1.88832	-0.00225
2.04061	-0.00227
2.12183	-0.00316
2.16244	-0.00230
2.25381	-0.00227
2.33503	-0.00144
2.36548	-0.00161
2.47716	-0.00140
2.55838	-0.00208
2.58883	-0.00211
2.73096	-0.00283
2.83249	-0.00396
2.88325	-0.00450
3.03553	-0.00429
3.17766	-0.00460
3.22843	-0.00363
3.40102	-0.00243
3.51269	-0.00181
3.56345	-0.00087
3.71574	0.00024
3.82741	0.00037
3.88832	-0.00024
4.09137	-0.00024
4.22335	-0.00042
4.31472	-0.00148
4.51777	-0.00218
4.69036	-0.00180
4.75127	-0.00128
5.00508	0.00014
5.15736	0.00011
5.20812	0.00165
5.37056	0.00308
5.46193	0.00257
5.50254	0.00249
5.61421	0.00340
5.67513	0.00249
5.69543	0.00096
5.77665	0.00097
5.83756	-0.00007
5.86802	0.00031
5.95939	-0.00016
6.01015	-0.00206
6.04061	-0.00082
6.16244	-0.00006
6.24365	-0.00110
6.26396	0.00089
6.43655	0.00136
6.51777	0.00154
6.56853	0.00104
6.70051	0.00140
6.76142	0.00142
6.79188	0.00178
6.97462	0.00228
7.10660	0.00194
7.16751	0.00373
7.31980	0.00386
7.45178	0.00192
7.51269	0.00275
7.68528	0.00308
7.77665	0.00305
7.85787	0.00259
7.98985	0.00369
8.11168	0.00349
8.17259	0.00360
8.32487	0.00497
8.40609	0.00572
8.45685	0.00610
8.59898	0.00584
8.70051	0.00623
8.75127	0.00697
8.90355	0.00847
9.00508	0.00731
9.05584	0.00722
9.21827	0.00575
9.31980	0.00393
9.37056	0.00289
9.54315	0.00310
9.63452	0.00304
9.69543	0.00235
9.83756	0.00285
9.94924	0.00392
10.01015	0.00275
10.15228	0.00357
10.23350	0.00294
10.31472	0.00374
10.42640	0.00294
10.50761	0.00346
10.53807	0.00414
10.64975	0.00612
10.73096	0.00522
10.76142	0.00491
10.86294	0.00401
10.94416	0.00178
10.99492	0.00113
11.13706	0.00198
11.23858	0.00178
11.27919	0.00282
11.41117	0.00298
11.47208	0.00498
11.50254	0.00479
11.63452	0.00553
11.70558	0.00553
11.72589	0.00595
11.81726	0.00418
