Black Body Radiation Experiment Wed, Mar 13, 2024 7:52 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	0.00199
0.01015	0.00000
0.01015	-0.00122
0.02030	-0.00179
0.08122	-0.00181
0.20305	-0.00137
0.28426	-0.00060
0.49746	0.00053
0.68020	0.00116
0.74112	0.00311
0.89340	0.00416
0.92386	0.00367
0.93401	0.00116
0.96447	0.00176
1.01523	0.00054
1.03553	0.00043
1.08629	-0.00075
1.10660	-0.00101
1.11675	-0.00151
1.14721	-0.00092
1.16751	-0.00136
1.17766	-0.00058
1.21827	-0.00019
1.24873	-0.00112
1.26904	-0.00062
1.35025	0.00077
1.42132	0.00085
1.45178	0.00113
1.57360	0.00146
1.66497	0.00117
1.69543	0.00053
1.82741	0.00126
1.90863	0.00034
1.95939	0.00036
2.09137	-0.00023
2.18274	-0.00091
2.24365	-0.00135
2.36548	-0.00248
2.45685	-0.00252
2.48731	-0.00360
2.58883	-0.00230
2.68020	-0.00188
2.75127	-0.00127
2.98477	-0.00081
3.21827	-0.00088
3.31980	-0.00061
3.66497	-0.00108
3.84772	-0.00055
3.90863	-0.00050
4.05076	-0.00021
4.12183	0.00140
4.14213	0.00094
4.23350	0.00258
4.31472	0.00260
4.35533	0.00344
4.55838	0.00410
4.68020	0.00421
4.74112	0.00292
4.92386	0.00141
5.07614	0.00245
5.13706	0.00179
5.36041	0.00039
5.52284	0.00204
5.59391	0.00104
5.84772	0.00175
6.00000	0.00254
6.08122	0.00469
6.33503	0.00495
6.51777	0.00392
6.57868	0.00268
6.82234	0.00248
6.96447	0.00278
7.02538	0.00209
7.24873	0.00113
7.37056	0.00310
7.43147	0.00263
7.60406	0.00256
7.74619	0.00210
7.82741	0.00224
8.07107	0.00087
8.24365	0.00079
8.32487	0.00160
8.54822	0.00205
8.72081	0.00143
8.80203	0.00212
9.02538	0.00210
9.15736	0.00368
9.22843	0.00366
9.46193	0.00280
9.61421	0.00132
9.69543	0.00084
9.95939	-0.00001
10.14213	0.00032
10.23350	0.00060
10.41624	-0.00036
10.54822	-0.00133
10.61929	0.00003
10.81218	0.00089
10.98477	0.00116
11.05584	0.00090
11.22843	0.00021
11.28934	0.00072
11.29949	0.00069
11.34010	0.00173
11.40102	0.00142
11.43147	0.00203
11.60406	0.00159
11.74619	0.00207
11.81726	0.00157
12.02030	0.00117
12.19289	0.00132
12.26396	0.00046
12.48731	0.00012
12.68020	0.00276
12.74112	0.00397
12.94416	0.00422
13.10660	0.00487
13.16751	0.00482
13.31980	0.00536
13.42132	0.00424
13.45178	0.00392
13.57360	0.00394
13.63452	0.00515
13.67513	0.00349
13.79695	0.00365
13.87817	0.00527
13.92893	0.00590
14.18274	0.00550
14.33503	0.00589
14.41624	0.00553
14.63959	0.00649
14.77157	0.00494
14.83249	0.00620
15.01523	0.00584
15.12690	0.00593
15.17766	0.00509
