Black Body Radiation Experiment Wed, Mar 13, 2024 8:55 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	0.00300
0.01015	0.00078
0.01015	-0.00058
0.01015	-0.00123
0.01015	-0.00132
0.01015	-0.00101
0.01015	-0.00044
0.01015	0.00012
0.01015	0.00027
0.01015	0.00042
0.01015	0.00050
0.01015	0.00019
0.01015	-0.00013
0.01015	-0.00076
0.01015	-0.00085
0.01015	-0.00106
0.01015	-0.00094
0.01015	-0.00076
0.01015	-0.00012
0.01015	-0.00067
0.01015	0.00024
0.02030	0.00115
0.02030	0.00001
0.02030	0.00022
0.02030	0.00046
0.02030	0.00099
0.02030	0.00216
0.02030	0.00356
0.02030	0.00425
0.02030	0.00467
0.04061	0.00472
0.09137	0.00362
0.17259	0.00371
0.22335	0.00123
0.31472	-0.00054
0.33503	-0.00053
0.33503	-0.00055
0.38579	-0.00129
0.41624	-0.00017
0.43655	0.00091
0.44670	0.00185
0.46701	0.00297
0.48731	0.00285
0.49746	0.00207
0.56853	0.00175
0.62944	0.00135
0.63959	0.00207
0.69036	0.00122
0.73096	-0.00042
0.76142	-0.00191
0.88325	-0.00139
0.95431	-0.00113
0.98477	-0.00075
1.09645	0.00016
1.14721	-0.00019
1.18782	0.00053
1.25888	0.00081
1.29949	0.00246
1.31980	0.00210
1.36041	0.00239
1.40102	0.00268
1.43147	0.00406
1.54315	0.00459
1.60406	0.00390
1.61421	0.00291
1.68528	0.00243
1.76650	0.00080
1.80711	0.00004
1.90863	-0.00131
1.96954	-0.00069
2.00000	-0.00045
2.06091	0.00066
2.09137	0.00245
2.11168	0.00460
2.19289	0.00580
2.23350	0.00549
2.26396	0.00440
2.35533	0.00362
2.40609	0.00193
2.43655	0.00244
2.49746	0.00161
2.54822	0.00174
2.56853	0.00283
2.64975	0.00388
2.71066	0.00510
2.74112	0.00681
2.89340	0.00740
2.99492	0.00597
3.03553	0.00502
3.16751	0.00480
3.25888	0.00501
3.28934	0.00529
3.39086	0.00570
3.45178	0.00535
3.48223	0.00586
3.60406	0.00582
3.67513	0.00576
3.70558	0.00678
3.83756	0.00616
3.91878	0.00584
3.96954	0.00498
4.11168	0.00534
4.20305	0.00528
4.23350	0.00391
4.37563	0.00341
4.47716	0.00162
4.50761	0.00294
4.57868	0.00272
4.61929	0.00416
4.63959	0.00505
4.67005	0.00409
4.67005	0.00440
4.67005	0.00431
4.67005	0.00621
4.68020	0.00542
4.71066	0.00484
4.78173	0.00305
4.82234	0.00364
4.84264	0.00563
4.90355	0.00589
4.97462	0.00657
5.00508	0.00525
5.06599	0.00389
5.10660	0.00463
5.11675	0.00638
5.17766	0.00740
5.22843	0.00648
5.24873	0.00482
5.32995	0.00388
5.36041	0.00444
5.37056	0.00587
5.40102	0.00625
5.43147	0.00569
5.46193	0.00370
5.56345	0.00318
5.64467	0.00301
5.67513	0.00476
5.74619	0.00581
5.78680	0.00550
5.80711	0.00486
5.88832	0.00471
5.93909	0.00465
5.95939	0.00494
6.01015	0.00421
6.03046	0.00316
6.04061	0.00139
6.08122	0.00024
6.12183	-0.00104
6.15228	0.00013
6.22335	0.00069
6.27411	-0.00006
6.29442	0.00026
6.40609	-0.00015
6.48731	-0.00111
6.51777	-0.00037
6.60914	0.00053
6.67005	0.00088
6.71066	0.00102
6.82234	0.00080
6.90355	0.00203
6.94416	0.00337
7.08629	0.00392
7.15736	0.00384
7.19797	0.00527
7.30964	0.00445
7.36041	0.00316
7.39086	0.00394
7.46193	0.00320
7.50254	0.00130
7.52284	0.00142
7.59391	0.00138
7.64467	0.00414
7.67513	0.00467
7.76650	0.00516
7.83756	0.00597
7.88832	0.00660
8.01015	0.00565
8.05076	0.00627
8.08122	0.00591
8.16244	0.00524
8.22335	0.00508
8.25381	0.00575
8.31472	0.00616
8.34518	0.00799
8.36548	0.00707
8.44670	0.00668
8.48731	0.00566
8.50761	0.00528
8.56853	0.00486
8.60914	0.00469
8.62944	0.00455
8.72081	0.00495
8.75127	0.00705
8.77157	0.00725
8.83249	0.00852
8.88325	0.00796
8.92386	0.00716
9.04569	0.00688
9.10660	0.00625
9.14721	0.00613
9.27919	0.00657
9.35025	0.00552
9.39086	0.00643
9.51269	0.00546
9.58376	0.00714
9.64467	0.00604
9.74619	0.00621
9.76650	0.00530
9.77665	0.00600
9.82741	0.00499
9.84772	0.00501
9.85787	0.00573
9.93909	0.00690
9.98985	0.00647
10.03046	0.00561
10.16244	0.00492
10.22335	0.00503
10.25381	0.00531
10.34518	0.00508
10.38579	0.00553
10.42640	0.00490
10.52792	0.00427
10.58883	0.00404
10.61929	0.00504
10.68020	0.00432
10.72081	0.00309
10.74112	0.00285
10.80203	0.00402
10.83249	0.00434
10.85279	0.00479
10.90355	0.00422
10.93401	0.00450
10.95431	0.00545
11.01523	0.00665
11.04569	0.00696
11.04569	0.00845
11.10660	0.00852
11.14721	0.00990
11.19797	0.01164
11.22843	0.01199
11.25888	0.01099
11.28934	0.00906
11.30964	0.00798
11.31980	0.00827
11.37056	0.00898
11.42132	0.00846
11.44162	0.00736
11.51269	0.00710
11.54315	0.00634
11.56345	0.00843
11.64467	0.00895
11.68528	0.00884
11.70558	0.00721
11.74619	0.00600
11.77665	0.00554
11.79695	0.00785
11.86802	0.00856
11.91878	0.00779
11.93909	0.00658
11.98985	0.00535
12.03046	0.00574
12.06091	0.00579
12.16244	0.00645
12.23350	0.00571
12.25381	0.00626
12.29442	0.00653
12.34518	0.00714
12.36548	0.00801
12.41624	0.00917
12.44670	0.00828
12.46701	0.00906
12.50761	0.00868
12.53807	0.00931
12.54822	0.00719
12.58883	0.00680
12.61929	0.00620
12.63959	0.00816
12.68020	0.00807
12.72081	0.00752
12.75127	0.00749
12.83249	0.00835
12.92386	0.00789
12.95431	0.00823
13.03553	0.00809
13.07614	0.00884
13.10660	0.00767
13.17766	0.00703
13.19797	0.00738
13.21827	0.00937
13.27919	0.01066
13.32995	0.01144
13.36041	0.01196
13.44162	0.01096
13.48223	0.01053
13.51269	0.00919
13.61421	0.00934
13.70558	0.00949
13.73604	0.00984
13.83756	0.00989
13.88832	0.01104
13.90863	0.01162
13.96954	0.01225
14.00000	0.01319
14.01015	0.01431
14.06091	0.01317
14.11168	0.01417
14.13198	0.01293
14.20305	0.01446
14.26396	0.01479
14.32487	0.01771
14.39594	0.01844
14.44670	0.01857
14.47716	0.01755
14.55838	0.01811
14.59898	0.01844
14.62944	0.01820
14.67005	0.01642
14.71066	0.01619
14.72081	0.01379
14.77157	0.01525
14.80203	0.01593
14.80203	0.01761
14.81218	0.01880
14.83249	0.01903
14.87310	0.01915
14.89340	0.02017
14.95431	0.01999
14.99492	0.01970
15.00508	0.02016
15.06599	0.01996
15.08629	0.01895
15.09645	0.02072
15.15736	0.02130
15.20812	0.02158
15.21827	0.02150
15.26904	0.02192
15.27919	0.02193
15.27919	0.02438
15.29949	0.02471
15.31980	0.02668
15.35025	0.02888
15.37056	0.03169
15.42132	0.03343
15.46193	0.03529
15.48223	0.03518
15.55330	0.03494
15.59391	0.03575
15.64467	0.03738
15.72589	0.03684
15.76650	0.03838
15.77665	0.03799
15.79695	0.03992
15.79695	0.04066
15.80711	0.04324
15.80711	0.04367
15.80711	0.04320
15.82741	0.04271
15.86802	0.04269
15.90863	0.04387
15.91878	0.04225
15.93909	0.04086
15.94924	0.04228
15.95939	0.04338
16.01015	0.04491
16.04061	0.04630
16.05076	0.04880
16.10152	0.05034
16.15228	0.05222
16.20305	0.05324
16.30457	0.05398
16.33503	0.05585
16.35533	0.05626
16.42640	0.05890
16.45685	0.06216
16.48731	0.06505
16.53807	0.06765
16.57868	0.06965
16.61929	0.07371
16.70051	0.07685
16.73096	0.07967
16.76142	0.08362
16.83249	0.08798
16.86294	0.09109
16.88325	0.09409
16.91371	0.09720
16.93401	0.09911
16.94416	0.10132
17.03553	0.10237
17.07614	0.10386
17.09645	0.10783
17.14721	0.10871
17.18782	0.11313
17.20812	0.11852
17.28934	0.12285
17.35025	0.12796
17.37056	0.13400
17.40102	0.13939
17.40102	0.14421
17.41117	0.15026
17.49239	0.15472
17.53299	0.16005
17.55330	0.16782
17.65482	0.17441
17.71574	0.18267
17.77665	0.19058
17.85787	0.19931
17.88832	0.20873
17.90863	0.21815
17.95939	0.22654
18.01015	0.23468
18.03046	0.24426
18.08122	0.25073
18.11168	0.25851
18.14213	0.26996
18.19289	0.27889
18.24365	0.28869
18.26396	0.30291
18.40609	0.31611
18.43655	0.33235
18.45685	0.35342
18.56853	0.37351
18.62944	0.40190
18.70051	0.43463
18.85279	0.46887
18.92386	0.51322
18.98477	0.56793
19.15736	0.62451
19.26904	0.68623
19.34010	0.75139
19.40102	0.80896
19.41117	0.86712
19.43147	0.92119
19.48223	0.96343
19.51269	1.00643
19.55330	1.04422
19.61421	1.07844
19.65482	1.12117
19.69543	1.16918
19.77665	1.21341
19.81726	1.26522
19.86802	1.32335
19.93909	1.38079
19.98985	1.44579
20.03046	1.50974
20.10152	1.56848
20.14213	1.62992
20.17259	1.68736
20.19289	1.73402
20.21320	1.78342
20.23350	1.83143
20.28426	1.86910
20.31472	1.91320
20.35533	1.96409
20.44670	2.01059
20.49746	2.06369
20.51777	2.12063
20.56853	2.17480
20.60914	2.23328
20.61929	2.29173
20.69036	2.34017
20.72081	2.39628
20.74112	2.45342
20.81218	2.50280
20.85279	2.55895
20.86294	2.61650
20.92386	2.66384
20.96447	2.71458
20.97462	2.76329
21.02538	2.80276
21.04569	2.84298
21.05584	2.88013
21.11675	2.90765
21.14721	2.94186
21.16751	2.97874
21.25888	3.01406
21.30964	3.05550
21.31980	3.09883
21.44162	3.14147
21.50254	3.18640
21.52284	3.22903
21.60406	3.26463
21.64467	3.29748
21.67513	3.32370
21.74619	3.34296
21.79695	3.35978
21.81726	3.37166
21.88832	3.37783
21.94924	3.37921
21.96954	3.37163
22.10152	3.35984
22.19289	3.33949
22.23350	3.30872
22.33503	3.27046
22.40609	3.22647
22.43655	3.17535
22.50761	3.12537
22.52792	3.07819
22.53807	3.03610
22.53807	3.00085
22.53807	2.97049
