Black Body Radiation Experiment Wed, Mar 13, 2024 8:46 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01015	0.00011
0.01015	-0.00139
0.01015	-0.00209
0.01015	-0.00215
0.01015	-0.00168
0.01015	-0.00084
0.01015	0.00025
0.02030	0.00159
0.07107	0.00290
0.14213	0.00330
0.17259	0.00421
0.31472	0.00370
0.41624	0.00262
0.46701	0.00085
0.54822	0.00003
0.57868	0.00021
0.58883	-0.00015
0.60914	-0.00114
0.61929	-0.00144
0.62944	-0.00146
0.67005	-0.00144
0.69036	-0.00185
0.70051	-0.00091
0.75127	-0.00174
0.79188	-0.00205
0.82234	-0.00201
0.92386	-0.00105
0.98477	0.00014
1.01523	0.00019
1.13706	0.00043
1.20812	0.00059
1.22843	-0.00024
1.30964	-0.00009
1.38071	-0.00047
1.42132	0.00032
1.55330	-0.00113
1.64467	-0.00155
1.67513	0.00027
1.81726	0.00046
1.94924	0.00112
2.00000	0.00048
2.16244	-0.00042
2.25381	-0.00054
2.29442	-0.00110
2.41624	-0.00043
2.51777	-0.00101
2.55838	-0.00046
2.69036	-0.00066
2.80203	0.00082
2.85279	0.00175
3.03553	0.00133
3.14721	0.00297
3.20812	0.00157
3.37056	-0.00007
3.48223	0.00023
3.53299	-0.00063
3.75635	-0.00139
3.87817	-0.00204
3.93909	-0.00115
4.15228	-0.00088
4.26396	-0.00054
4.32487	-0.00065
4.46701	-0.00047
4.53807	0.00084
4.56853	-0.00031
4.67005	-0.00041
4.74112	-0.00033
4.77157	-0.00005
4.89340	-0.00031
4.96447	-0.00088
5.09645	-0.00136
5.19797	-0.00236
5.23858	-0.00167
5.38071	-0.00092
5.48223	-0.00121
5.54315	-0.00137
5.71574	-0.00214
5.83756	-0.00144
5.88832	-0.00084
6.06091	0.00058
6.19289	-0.00037
6.24365	0.00033
6.40609	0.00024
6.51777	0.00189
6.56853	0.00267
6.71066	0.00314
6.79188	0.00267
6.85279	0.00119
7.04569	0.00100
7.16751	0.00094
7.23858	0.00207
7.41117	0.00184
7.53299	0.00188
7.74619	0.00249
7.87817	0.00091
7.94924	0.00135
8.11168	0.00003
8.21320	-0.00028
8.27411	-0.00138
8.45685	-0.00221
8.55838	-0.00171
8.61929	-0.00176
8.79188	0.00025
8.93401	0.00101
9.00508	0.00251
9.22843	0.00259
9.37056	0.00159
9.47208	0.00181
9.71574	0.00212
9.84772	0.00235
9.92893	0.00113
10.17259	0.00055
10.28426	0.00005
10.33503	0.00052
10.41624	0.00061
10.50761	0.00097
10.54822	0.00099
10.68020	0.00251
10.77157	0.00236
10.82234	0.00228
10.98477	0.00305
11.09645	0.00272
11.14721	0.00289
11.30964	0.00260
11.41117	0.00284
11.44162	0.00351
11.62437	0.00350
11.72589	0.00370
11.78680	0.00421
11.96954	0.00556
12.07107	0.00531
12.12183	0.00513
12.27411	0.00642
12.37563	0.00666
12.41624	0.00632
12.56853	0.00508
12.64975	0.00569
12.68020	0.00705
12.79188	0.00725
12.87310	0.00723
12.90355	0.00800
13.00508	0.00882
13.06599	0.01042
13.13706	0.01142
13.24873	0.01201
13.30964	0.01196
13.34010	0.01068
13.46193	0.01124
13.54315	0.01104
13.57360	0.01151
13.68528	0.01141
13.77665	0.01241
13.88832	0.01353
13.95939	0.01343
13.98985	0.01417
14.10152	0.01310
14.16244	0.01390
14.21320	0.01395
14.30457	0.01437
14.38579	0.01476
14.42640	0.01456
14.57868	0.01552
14.67005	0.01738
14.71066	0.01856
14.88325	0.02042
14.97462	0.02111
15.02538	0.02300
15.16751	0.02348
15.25888	0.02570
15.28934	0.02632
15.46193	0.02928
15.53299	0.03017
15.63452	0.03117
15.76650	0.03265
15.84772	0.03584
15.87817	0.03861
16.01015	0.04111
16.09137	0.04347
16.17259	0.04627
16.30457	0.04798
16.37563	0.05178
16.45685	0.05514
16.61929	0.05872
16.72081	0.06198
16.77157	0.06721
16.96447	0.07250
17.06599	0.08085
17.14721	0.08838
17.34010	0.09694
17.45178	0.10759
17.54315	0.11778
17.69543	0.13186
17.78680	0.14860
17.86802	0.16580
18.05076	0.18510
18.15228	0.20918
18.36548	0.23356
18.45685	0.25945
18.52792	0.29076
18.65990	0.32049
18.74112	0.35640
18.82234	0.39573
18.96447	0.43460
19.04569	0.48193
19.10660	0.53341
19.25888	0.58338
19.32995	0.63994
19.39086	0.70381
19.51269	0.76815
19.58376	0.84113
19.64467	0.91810
19.79695	0.99078
19.87817	1.07472
19.94924	1.16319
20.05076	1.24567
20.13198	1.33855
20.20305	1.43629
20.31472	1.52703
20.38579	1.62932
20.44670	1.73694
20.56853	1.83828
20.62944	1.94375
20.67005	2.04399
20.76142	2.13066
20.81218	2.22058
20.85279	2.30184
20.90355	2.37585
20.94416	2.45332
20.98477	2.52258
21.07614	2.58839
21.10660	2.65979
21.17766	2.72393
21.21827	2.78229
21.25888	2.84274
21.31980	2.89290
21.35025	2.93585
21.36041	2.97964
21.42132	3.01489
21.45178	3.05192
21.46193	3.08432
21.54315	3.11165
21.58376	3.14028
21.59391	3.16575
21.64467	3.18648
21.67513	3.20748
21.68528	3.22678
21.71574	3.24109
21.75635	3.25764
21.83756	3.26964
21.88832	3.27848
21.90863	3.28685
21.97970	3.29311
22.02030	3.29632
22.04061	3.29640
22.10152	3.29424
22.15228	3.28856
22.17259	3.27650
22.23350	3.26541
22.27411	3.25101
22.29442	3.23409
22.35533	3.21344
22.37563	3.19200
22.38579	3.16519
22.45685	3.14152
22.50761	3.11414
22.51777	3.08481
22.55838	3.05509
22.58883	3.02394
22.59898	2.98935
22.63959	2.96056
22.65990	2.92872
22.67005	2.89581
22.69036	2.86701
22.70051	2.83907
22.71066	2.80941
22.73096	2.78613
22.76142	2.75831
22.78173	2.72623
22.82234	2.69568
22.86294	2.66195
22.87310	2.62126
22.92386	2.58297
22.93401	2.53689
22.94416	2.48636
22.99492	2.44059
23.02538	2.39384
23.03553	2.34569
23.07614	2.30367
23.09645	2.25839
23.11675	2.20862
23.15736	2.16603
23.19797	2.12183
23.21827	2.07241
23.25888	2.02861
23.28934	1.97715
23.31980	1.91954
23.38071	1.86646
23.43147	1.80938
23.45178	1.74576
23.52284	1.68676
23.57360	1.62107
23.60406	1.54939
23.66497	1.48587
23.71574	1.41986
23.74619	1.34877
23.81726	1.28655
23.87817	1.22037
23.89848	1.15399
23.96954	1.09608
24.02030	1.03675
24.04061	0.97664
24.10152	0.92644
24.13198	0.87568
24.15228	0.82605
24.21320	0.78684
24.25381	0.74627
24.27411	0.70432
24.31472	0.67043
24.35533	0.63491
24.37563	0.59839
24.45685	0.56581
24.52792	0.53055
24.54822	0.49553
24.60914	0.46442
24.63959	0.43383
24.65990	0.40195
24.72081	0.37617
24.77157	0.34984
24.78173	0.32579
24.84264	0.30717
24.88325	0.28764
24.89340	0.26832
24.93401	0.25304
24.95431	0.23746
24.97462	0.22162
25.02538	0.20855
25.06599	0.19554
25.08629	0.18177
25.14721	0.17139
25.19797	0.15944
25.21827	0.14910
25.27919	0.13972
25.30964	0.12951
25.32995	0.11951
25.37056	0.11085
25.39086	0.10178
25.39086	0.09472
25.42132	0.09028
25.45178	0.08434
25.47208	0.08026
25.47208	0.07720
25.52284	0.07383
25.55330	0.07183
25.58376	0.06877
25.59391	0.06678
25.62437	0.06319
25.63452	0.06099
25.64467	0.05736
25.67513	0.05526
25.70558	0.05244
25.72589	0.04886
25.77665	0.04783
25.81726	0.04606
25.83756	0.04527
25.90863	0.04354
25.95939	0.04079
25.97970	0.03882
26.06091	0.03582
26.11168	0.03490
26.13198	0.03116
26.18274	0.02935
26.22335	0.02822
26.24365	0.02841
26.29442	0.02899
26.33503	0.02714
26.34518	0.02796
26.39594	0.02693
26.44670	0.02583
26.46701	0.02421
26.53807	0.02263
26.58883	0.02314
26.59898	0.02128
26.64975	0.02140
26.71066	0.02120
26.73096	0.02284
26.78173	0.02340
26.82234	0.02188
26.83249	0.02284
26.89340	0.02186
26.92386	0.02159
26.94416	0.02006
26.98477	0.01895
27.01523	0.01990
27.03553	0.01849
27.05584	0.01815
27.08629	0.01900
27.09645	0.02019
27.14721	0.02110
27.17766	0.02042
27.19797	0.02198
27.24873	0.02328
27.27919	0.02289
27.29949	0.02214
27.34010	0.02184
27.38071	0.02089
27.40102	0.01858
27.44162	0.01738
27.48223	0.01756
27.49239	0.01607
27.54315	0.01574
27.58376	0.01604
27.60406	0.01683
27.66497	0.01847
27.72589	0.01857
27.75635	0.01996
27.85787	0.02060
27.94924	0.01996
27.98985	0.02141
28.09137	0.02158
28.17259	0.02105
28.22335	0.02055
28.35533	0.01970
28.45685	0.01840
28.49746	0.01768
28.62944	0.01806
28.72081	0.01652
28.76142	0.01618
28.89340	0.01606
28.99492	0.01489
29.02538	0.01609
29.16751	0.01552
29.26904	0.01454
29.29949	0.01535
29.41117	0.01482
29.48223	0.01457
29.52284	0.01586
29.61421	0.01600
29.67513	0.01496
29.70558	0.01542
29.79695	0.01551
29.86802	0.01472
29.90863	0.01528
30.02030	0.01492
30.09137	0.01455
30.12183	0.01521
30.23350	0.01522
30.31472	0.01520
30.35533	0.01534
30.45685	0.01571
30.54822	0.01525
30.58883	0.01547
30.71066	0.01563
30.79188	0.01489
30.83249	0.01490
30.95431	0.01488
31.04569	0.01385
31.08629	0.01403
31.22843	0.01318
31.31980	0.01212
31.37056	0.01239
31.51269	0.01316
31.59391	0.01288
31.63452	0.01322
31.75635	0.01343
31.86802	0.01448
31.91878	0.01583
32.07107	0.01688
32.20305	0.01864
32.27411	0.01958
32.46701	0.01929
32.58883	0.01873
32.64975	0.01935
32.79188	0.01829
32.88325	0.01561
32.92386	0.01449
33.02538	0.01353
33.08629	0.01222
33.10660	0.01180
33.17766	0.01172
33.22843	0.01309
33.25888	0.01296
33.37056	0.01402
33.43147	0.01588
33.47208	0.01723
33.58376	0.01821
33.67513	0.01894
33.72589	0.02085
33.84772	0.02081
33.91878	0.01894
33.95939	0.01926
34.07107	0.01738
34.14213	0.01536
34.17259	0.01360
34.28426	0.01277
34.36548	0.01375
34.39594	0.01398
34.52792	0.01541
34.61929	0.01593
34.65990	0.01707
34.73096	0.01705
34.78173	0.01645
34.81218	0.01701
34.88325	0.01688
34.94416	0.01685
34.97462	0.01655
35.07614	0.01753
35.17766	0.01754
35.24873	0.01775
35.42132	0.01732
35.55330	0.01789
35.60406	0.01822
35.72589	0.01814
35.79695	0.01678
35.83756	0.01708
35.91878	0.01776
35.96954	0.01869
36.02030	0.01747
36.12183	0.01656
36.21320	0.01605
36.25381	0.01496
36.40609	0.01491
36.50761	0.01581
36.70051	0.01527
36.85279	0.01618
37.00508	0.01531
37.09645	0.01620
37.20812	0.01640
37.29949	0.01787
37.42132	0.01738
37.52284	0.01801
37.72589	0.01813
37.89848	0.01786
38.00000	0.01706
38.31472	0.01720
38.53807	0.01648
38.67005	0.01743
